filter,P1_flux,P2_flux,P2/P1_flux,P1_peak,P2_peak,P2/P1_peak,background,background_rms,P1_SNR,P2_SNR,P1_x,P1_y,P2_x,P2_y,N_background
F435W,-0.0014322120696306229,-0.0008904896676540375,0.6217582483323861,0.002831730991601944,0.0020661242306232452,0.729632947744946,0.01924542523920536,0.002081284209567423,-0.19085531721430954,-0.12351135106086625,14.356967716352756,11.33424506036988,14.372004908115287,17.516882285107272,377
F606W,0.04170093685388565,-0.06692420691251755,-1.6048609926201602,0.012283466756343842,0.011121511459350586,0.9054049381952242,0.08148558437824249,0.010043219027464047,1.198622028067517,-1.7809276691598597,14.53721468228332,10.984868592512385,14.552273078993949,17.167505780397846,377
F775W,0.006007082760334015,-0.01490277424454689,-2.480867142858915,0.00997561402618885,0.013205276802182198,1.3237557876151338,0.05461887829005718,0.007680617170265193,0.2257755315647021,-0.5185695191211532,14.53721468228332,10.984868592512385,14.552273078993949,17.167505780397846,384
F850LP,-0.019688129425048828,-0.0030900463461875916,0.1569497172370365,0.0034629302099347115,0.007454301230609417,2.1525993244749673,0.027021543122828007,0.004717389371819058,-1.2047920923484168,-0.17506496898105142,14.53721468228332,10.98486859251227,14.552273078993949,17.167505780397732,384
