x,y,ra_deg,dec_deg,radius_arcsec,distance_from_chaos_arcsec,pabeta_flux,pagamma_flux,pabeta_pagamma_ratio,valid_ratio,pabeta_flux_fraction,pagamma_flux_fraction,diagnostic_Av_for_intrinsic_ratio_2p0
60,44,-157.51783322545563,47.19579247685815,0.4472136021639595,0.4376017915324895,82.17978731059705,33.0653076171875,2.4853779756725936,True,0.06128619936797617,0.04954257852366069,2.113589017200819
61,44,-157.51787410547783,47.19579247687996,0.41231056870567195,0.40084014800182355,46.83770593538271,23.83159637451172,1.9653616652167036,True,0.0349295742643563,0.03570747771040581,-0.16994989133328545
62,44,-157.5179149855,47.19579247688724,0.4000000059604642,0.3871050518013552,27.34843918415126,10.154544830322266,2.693221571338843,True,0.020395305842154883,0.015214808839908358,2.8948449259141436
63,44,-157.51795586552217,47.19579247687996,0.41231056870567195,0.3987829217164403,19.979347796780885,13.823736190795898,1.4452929020797942,True,0.014899750077081976,0.020712450150225752,-3.1598662763295193
64,44,-157.51799674554437,47.19579247685815,0.4472136021639595,0.43382636704975536,11.608899646041047,11.808469772338867,0.9830994082937563,True,0.008657424914731513,0.01769292600309198,-6.908464909292467
59,45,-157.51779234536926,47.1958202546,0.42426407503395547,0.4182118962386103,103.44471503019744,50.566307067871094,2.045724139818079,True,0.07714468041810879,0.0757647643132567,0.21988895352380416
60,45,-157.51783322541283,47.19582025463634,0.36055513291908875,0.35224804598415693,61.58266293129414,30.020158767700195,2.0513769899695937,True,0.045925737721293554,0.04497995573670256,0.2467316850605367
61,45,-157.51787410545643,47.19582025465815,0.3162277707289986,0.30537875201190395,36.81789819189634,18.967077255249023,1.9411476895686293,True,0.0274572266823991,0.028418846882103842,-0.2905418745974189
62,45,-157.5179149855,47.19582025466543,0.30000000447034814,0.28711265921203344,21.153595128979415,8.844005584716797,2.3918568262252853,True,0.015775453926696992,0.013251195065754376,1.7404891874356119
63,45,-157.51795586554357,47.19582025465815,0.3162277707289986,0.3026733826797016,17.301200659788684,13.555927276611328,1.2762830831675565,True,0.012902501547414465,0.02031118534682714,-4.369590348437129
64,45,-157.51799674558717,47.19582025463634,0.36055513291908875,0.3475466511085789,10.290346688960915,6.567715167999268,1.566807698832603,True,0.007674104051422012,0.009840572124679288,-2.3745743989877983
65,45,-157.51803762563074,47.1958202546,0.42426407503395547,0.4122695396965708,6.437031519401351,4.487409591674805,1.4344648929180772,True,0.004800465052859865,0.006723598178406643,-3.2330189732349326
58,46,-157.51775146524008,47.195848032327284,0.4472136021639595,0.4453168014016512,87.59878798315634,38.19693374633789,2.293346072354691,True,0.06532746019940741,0.057231422474574065,1.331365246892976
59,46,-157.51779234530505,47.195848032378194,0.36055513291908875,0.3570497846268039,65.34205563558486,27.862783432006836,2.345137405063574,True,0.04872933332938253,0.04174750623975491,1.5486027310107957
60,46,-157.51783322537003,47.19584803241453,0.28284271668930366,0.2768791152123108,36.520206709732015,20.961196899414062,1.742276783381243,True,0.027235221002862395,0.03140668628769483,-1.3419653038849975
61,46,-157.51787410543503,47.195848032436345,0.22360680108197975,0.21410170649053054,23.990516680270282,11.48332691192627,2.0891608210991874,True,0.017891109679450453,0.017205756312130883,0.4242719791535398
62,46,-157.5179149855,47.195848032443614,0.2000000029802321,0.1871283987622632,15.281756325711966,7.207472324371338,2.1202656962050694,True,0.011396485626455805,0.0107991362947934,0.5680356247026322
63,46,-157.51795586556497,47.195848032436345,0.22360680108197975,0.21022496313337852,12.377485491616804,9.263890266418457,1.3361001842266105,True,0.009230603635495693,0.013880318800362359,-3.9240366752106888
64,46,-157.51799674562997,47.19584803241453,0.28284271668930366,0.27087272516787186,8.155954933200707,2.4462437629699707,3.3340728576037773,True,0.0060823652193598724,0.0036652682962477015,4.971264588733808
65,46,-157.51803762569494,47.195848032378194,0.36055513291908875,0.3500707527168172,6.364461039582416,2.024440288543701,3.1438126753349422,True,0.004746345067399165,0.0030332695864442615,4.399686978258794
66,46,-157.51807850575992,47.195848032327284,0.4472136021639595,0.4378664536297032,6.7039384491513845,2.8793842792510986,2.3282541678997486,True,0.0049995129190648635,0.004314253579798558,1.4783179845579375
58,47,-157.51775146515448,47.19587581010548,0.41231056870567195,0.4133889364123023,43.67280298038181,21.020153045654297,2.0776634159383875,True,0.03256932389345433,0.03149502175816361,0.370589643959877
59,47,-157.51779234524088,47.19587581015638,0.3162277707289986,0.31633511947828014,30.587591962106494,13.687362670898438,2.2347323365034155,True,0.02281092858139139,0.02050811828988776,1.0795132689950453
60,47,-157.51783322532725,47.195875810192724,0.22360680108197975,0.22191305401287575,22.2593383857288,12.17107105255127,1.8288726020593604,True,0.016600070342736313,0.01823622058258547,-0.8701090762120997
61,47,-157.51787410541363,47.19587581021454,0.14142135834465183,0.1357309833965351,15.061321091131582,9.63213062286377,1.5636541571997118,True,0.011232094379211997,0.014432062549006317,-2.394173039299516
62,47,-157.5179149855,47.195875810221814,0.10000000149011605,0.08718025439666305,10.900746016902367,9.563840866088867,1.1397874734149804,True,0.008129313977494364,0.014329742296113111,-5.469880929329855
63,47,-157.51795586558637,47.19587581021454,0.14142135834465183,0.12952951113901007,8.334860692780536,13.133702278137207,0.6346162351079802,True,0.0062157855457991296,0.01967855505698573,-11.166135462235511
