velocity_kms,pa_beta_only_chi2,joint_profile_pa_beta_chi2,joint_profile_ci_chi2,joint_delta_chi2_pa_beta,joint_delta_chi2_ci
250.0,278684.5133466346,1828.7076684770434,1849.7171675246768,0.3904651153895884,21.399964163023014
255.0,278161.1513014978,1828.7076684770434,1849.7171675246768,0.3904651153895884,21.399964163023014
260.0,277533.90788313607,1828.7076684770443,1849.7171675246732,0.3904651153904979,21.399964163019376
265.0,276794.83012631553,1828.7076684770445,1849.7171675246768,0.39046511539072526,21.399964163023014
270.0,275935.8238351987,1828.7076684770439,1849.7171675246796,0.39046511539004314,21.399964163025743
275.0,274948.6860230362,1828.7076684770445,1849.7171675246798,0.39046511539072526,21.39996416302597
280.0,273825.13976589567,1828.7076684770445,1849.7171675246798,0.39046511539072526,21.39996416302597
285.0,272556.8716426877,1828.7076684770445,1849.7171675246805,0.39046511539072526,21.399964163026652
290.0,271135.57203439233,1828.7076684770445,1849.7171675246755,0.39046511539072526,21.39996416302165
295.0,269552.9786478858,1828.7076684770439,1849.7171675246805,0.39046511539004314,21.399964163026652
300.0,267800.9237046797,1828.7076684770434,1849.7171675246775,0.3904651153895884,21.399964163023697
305.0,265871.3852791131,1828.7076684770445,1849.7171675246775,0.39046511539072526,21.399964163023697
310.0,263756.54327709076,1828.7076684770439,1849.7171675246768,0.39046511539004314,21.399964163023014
315.0,261448.84050646605,1828.707668477042,1849.7171675246768,0.39046511538822415,21.399964163023014
320.0,258941.04919724388,1828.7076684770439,1849.7171675246746,0.39046511539004314,21.39996416302074
325.0,256226.34318417797,1828.7076684770448,1849.7171675246775,0.39046511539095263,21.399964163023697
330.0,253298.37576662473,1828.7076684770434,1849.7171675246768,0.3904651153895884,21.399964163023014
335.0,250151.36301177082,1828.707668477042,1849.7171675246768,0.39046511538822415,21.399964163023014
340.0,246780.17198399786,1828.7076684770439,1849.7171675246798,0.39046511539004314,21.39996416302597
345.0,243180.4130710822,1828.7076684770445,1849.7171675246768,0.39046511539072526,21.399964163023014
350.0,239348.53525566548,1828.7076684770445,1849.7171675246775,0.39046511539072526,21.399964163023697
355.0,235281.92286644995,1828.7076684770443,1849.7171675246768,0.3904651153904979,21.399964163023014
360.0,230978.9920592559,1828.7076684770445,1849.7171675246746,0.39046511539072526,21.39996416302074
365.0,226439.28504195824,1828.7076684770434,1849.7171675246798,0.3904651153895884,21.39996416302597
370.0,221663.55989106008,1828.7076684770439,1849.7171675246798,0.39046511539004314,21.39996416302597
375.0,216653.87373072866,1828.707668477042,1849.7171675246768,0.39046511538822415,21.399964163023014
380.0,211413.65706791412,1828.7076684770439,1849.7171675246798,0.39046511539004314,21.39996416302597
385.0,205947.7772076379,1828.707668477042,1849.7171675246798,0.39046511538822415,21.39996416302597
390.0,200262.58891821138,1828.7076684770434,1849.7171675246739,0.3904651153895884,21.39996416302006
395.0,194365.97085681712,1828.7076684770443,1849.7171675246718,0.3904651153904979,21.399964163018012
400.0,188267.346698456,1828.7076684770484,1849.7171675246805,0.3904651153945906,21.399964163026652
405.0,181977.69040417045,1828.7076684770443,1849.7171675246775,0.3904651153904979,21.399964163023697
410.0,175509.51558857135,1828.7076684770445,1849.7171675246755,0.39046511539072526,21.39996416302165
415.0,168876.84946779095,1828.7076684770434,1849.7171675246768,0.3904651153895884,21.399964163023014
420.0,162095.19234790775,1828.707668477044,1849.7171675246768,0.3904651153902705,21.399964163023014
425.0,155181.4640170095,1828.7076684770443,1849.7171675246775,0.3904651153904979,21.399964163023697
430.0,148153.93869466384,1828.7076684770439,1849.6830647517168,0.39046511539004314,21.365861390062946
435.0,141032.17035521337,1828.707668477042,1848.957419944595,0.39046511538822415,20.640216582941093
440.0,133836.9102520509,1828.7076684770443,1847.296041693911,0.3904651153904979,18.978838332257283
445.0,126590.01833476804,1828.7076684770445,1844.7118483876752,0.39046511539072526,16.394645026021408
450.0,119314.36998161727,1828.7076684770443,1841.2203495739195,0.3904651153904979,12.90314621226571
455.0,112033.75907684918,1828.707668477042,1836.8395494938425,0.39046511538822415,8.522346132188659
460.0,104772.797998271,1828.7076684770434,1831.589863766383,0.3904651153895884,3.272660404729095
465.0,97556.81457154894,1828.707668477042,1831.8218472778904,0.39046511538822415,3.504643916236546
470.0,90411.7455458283,1828.7076684770439,1845.7485243197573,0.39046511539004314,17.43132095810347
475.0,83364.02569967232,1828.707668477042,1849.7171675246775,0.39046511538822415,21.399964163023697
480.0,76440.47133741937,1828.7076684770484,1849.7171675246768,0.3904651153945906,21.399964163023014
485.0,69668.15672771867,1828.7076684770443,1849.5171393428625,0.3904651153904979,21.199935981208682
490.0,63074.28199130155,1828.7076684770445,1848.4328520621582,0.39046511539072526,20.11564870050438
495.0,56686.031087346215,1828.7076684770445,1846.4174503544325,0.39046511539072526,18.100246992778693
500.0,50530.41887496808,1828.7076684770439,1843.4848542574725,0.39046511539004314,15.167650895818724
505.0,44634.12672935326,1828.707668477042,1839.6515365109008,0.39046511538822415,11.334333149246959
510.0,39023.32685017641,1828.7076684770557,1834.9364312663142,0.39046511540186657,6.61922790466042
515.0,33723.49615969101,1828.7076684770445,1829.36085538582,0.39046511539072526,1.0436520241662492
520.0,28759.22151690973,1828.707668477042,1837.2451591566573,0.39046511538822415,8.927955795003527
525.0,24153.99880086818,1828.7076684770443,1849.7171675246775,0.3904651153904979,21.399964163023697
530.0,19930.02918131222,1828.7076684770439,1849.7171675246798,0.39046511539004314,21.39996416302597
535.0,16108.016542921818,1828.7076684770439,1849.7171675246798,0.39046511539004314,21.39996416302597
