wavelength_nm,aperture_flux,aperture_error,pabeta_continuum,pabeta_continuum_subtracted,pabeta_model,pabeta_residual,pagamma_continuum,pagamma_continuum_subtracted,pagamma_model,pagamma_residual
970.3180286160205,296.8035501241684,9.839139224880993,600.9483745961938,-304.14482447202545,0.0,-304.14482447202545,558.0134766707404,-261.209926546572,0.0,-261.209926546572
970.9540286276024,287.6049749851227,5.480524858983202,600.5239114353268,-312.9189364502041,0.0,-312.9189364502041,556.9213907316894,-269.3164157465667,0.0,-269.3164157465667
971.5900286391843,264.66578310728073,4.879245690500725,600.0994482744597,-335.433665167179,0.0,-335.433665167179,555.8293047926386,-291.16352168535786,0.0,-291.16352168535786
972.2260286507662,276.23150968551636,5.151450612111554,599.6749851135927,-323.44347542807634,0.0,-323.44347542807634,554.7372188535876,-278.50570916807123,0.0,-278.50570916807123
972.8620286623482,266.7814733982086,5.136221351038696,599.2505219527256,-332.46904855451703,0.0,-332.46904855451703,553.6451329145366,-286.86365951632797,0.0,-286.86365951632797
973.4980286739301,265.76673412323,6.260902137450203,598.8260587918586,-333.0593246686286,0.0,-333.0593246686286,552.5530469754856,-286.7863128522556,0.0,-286.7863128522556
974.134028685512,295.1833984851837,6.0038971360897015,598.4015956309916,-303.21819714580784,0.0,-303.21819714580784,551.4609610364348,-256.2775625512511,0.0,-256.2775625512511
974.770028697094,287.43314492702484,5.634488649214834,597.9771324701245,-310.54398754309966,0.0,-310.54398754309966,550.3688750973838,-262.93573017035897,0.0,-262.93573017035897
975.4060287086759,280.88336086273193,5.706341495512226,597.5526693092575,-316.6693084465255,0.0,-316.6693084465255,549.2767891583328,-268.39342829560087,0.0,-268.39342829560087
976.0420287202578,276.9270305633545,5.408231243085349,597.1282061483904,-320.2011755850359,0.0,-320.2011755850359,548.184703219282,-271.25767265592754,0.0,-271.25767265592754
976.6780287318397,295.723197221756,5.292015477273293,596.7037429875234,-300.9805457657674,0.0,-300.9805457657674,547.092617280231,-251.36942005847504,0.0,-251.36942005847504
977.3140287434217,275.2948155403137,5.577252720762166,596.2792798266563,-320.9844642863426,0.0,-320.9844642863426,546.00053134118,-270.7057158008663,0.0,-270.7057158008663
977.9500287550036,293.94584411382675,5.55916385915235,595.8548166657893,-301.9089725519625,0.0,-301.9089725519625,544.908445402129,-250.96260128830227,0.0,-250.96260128830227
978.5860287665855,315.9467577934265,6.397767875966353,595.4303535049222,-279.4835957114957,0.0,-279.4835957114957,543.8163594630782,-227.86960166965173,0.0,-227.86960166965173
979.2220287781674,285.28446865081787,5.251722350944321,595.0058903440552,-309.7214216932373,0.0,-309.7214216932373,542.7242735240272,-257.43980487320937,0.0,-257.43980487320937
979.8580287897494,285.55663311481476,5.367771312979303,594.5814271831881,-309.02479406837335,0.0,-309.02479406837335,541.6321875849762,-256.0755544701615,0.0,-256.0755544701615
980.4940288013313,305.1391839981079,5.317342275943448,594.1569640223211,-289.01778002421315,0.0,-289.01778002421315,540.5401016459255,-235.40091764781755,0.0,-235.40091764781755
981.1300288129132,413.47827219963074,15.469073577274255,593.732500861454,-180.25422866182328,0.0,-180.25422866182328,539.4480157068745,-125.96974350724372,0.0,-125.96974350724372
981.7660288244952,315.30657052993774,5.116016888431274,593.308037700587,-278.0014671706492,0.0,-278.0014671706492,538.3559297678235,-223.0493592378857,0.0,-223.0493592378857
982.4020288360771,293.6395721435547,5.194740713472855,592.8835745397199,-299.24400239616523,0.0,-299.24400239616523,537.2638438287727,-243.624271685218,0.0,-243.624271685218
983.038028847659,309.7370653152466,4.898361983497608,592.4591113788529,-282.7220460636063,0.0,-282.7220460636063,536.1717578897217,-226.4346925744751,0.0,-226.4346925744751
983.6740288592409,294.93153738975525,4.664969097388837,592.0346482179858,-297.10311082823057,0.0,-297.10311082823057,535.0796719506707,-240.14813456091542,0.0,-240.14813456091542
984.3100288708229,300.517870426178,4.777848190888302,591.6101850571188,-291.0923146309408,0.0,-291.0923146309408,533.9875860116197,-233.4697155854417,0.0,-233.4697155854417
984.9460288824048,315.6744120121002,4.450804354638076,591.1857218962517,-275.5113098841515,0.0,-275.5113098841515,532.8955000725689,-217.22108806046867,0.0,-217.22108806046867
985.5820288939867,304.6377155780792,4.5546358435441885,590.7612587353847,-286.12354315730545,0.0,-286.12354315730545,531.8034141335179,-227.16569855543867,0.0,-227.16569855543867
986.2180289055686,350.1562614440918,4.709425746927374,590.3367955745176,-240.18053413042583,0.0,-240.18053413042583,530.7113281944669,-180.5550667503751,0.0,-180.5550667503751
986.8540289171506,342.60064578056335,4.389782051543813,589.9123324136506,-247.31168663308722,0.0,-247.31168663308722,529.6192422554161,-187.01859647485276,0.0,-187.01859647485276
987.4900289287325,322.00873613357544,4.265333862844938,589.4878692527835,-267.4791331192081,0.0,-267.4791331192081,528.5271563163651,-206.51842018278967,0.0,-206.51842018278967
988.1260289403144,309.20395398139954,4.3392710457869255,589.0634060919165,-279.85945211051694,0.0,-279.85945211051694,527.4350703773141,-218.23111639591457,0.0,-218.23111639591457
988.7620289518964,288.8167507648468,4.104277916888222,588.6389429310494,-299.8221921662026,0.0,-299.8221921662026,526.3429844382631,-237.5262336734163,0.0,-237.5262336734163
989.3980289634783,299.2852957248688,4.1457311901138025,588.2144797701824,-288.9291840453136,0.0,-288.9291840453136,525.2508984992123,-225.96560277434355,0.0,-225.96560277434355
990.0340289750602,297.15685844421387,4.1056490574485975,587.7900166093153,-290.63315816510146,0.0,-290.63315816510146,524.1588125601613,-227.00195411594746,0.0,-227.00195411594746
990.6700289866421,302.6548705101013,4.014467831091976,587.3655534484483,-284.71068293834696,0.0,-284.71068293834696,523.0667266211103,-220.411856111009,0.0,-220.411856111009
991.3060289982241,286.6201739311218,4.000998870673908,586.9410902875813,-300.3209163564595,0.0,-300.3209163564595,521.9746406820595,-235.35446675093772,0.0,-235.35446675093772
991.942029009806,303.5948247909546,4.0354897483490095,586.5166271267143,-282.9218023357597,0.0,-282.9218023357597,520.8825547430085,-217.28772995205395,0.0,-217.28772995205395
992.5780290213879,282.41105031967163,4.054876722377961,586.0921639658472,-303.6811136461756,0.0,-303.6811136461756,519.7904688039575,-237.3794184842859,0.0,-237.3794184842859
993.2140290329698,273.07316184043884,4.086437683658085,585.6677008049802,-312.59453896454136,0.0,-312.59453896454136,518.6983828649068,-245.62522102446792,0.0,-245.62522102446792
993.8500290445518,276.92697834968567,4.170988203726494,585.2432376441132,-308.3162592944275,0.0,-308.3162592944275,517.6062969258558,-240.6793185761701,0.0,-240.6793185761701
994.4860290561337,282.2444498538971,4.227345590014264,584.8187744832461,-302.574324629349,0.0,-302.574324629349,516.5142109868048,-234.26976113290766,0.0,-234.26976113290766
