x_pixel,y_pixel,ra_deg,dec_deg,dx_arcsec,dy_arcsec,radius_from_center_arcsec,inside_nominal_aperture,pabeta_flux,pagamma_flux,ratio,best_av,best_te,best_ne,best_intrinsic_ratio,grid_residual,chaos_1sigma,chaos_2sigma,chaos_3sigma
60,44,202.4821667745444,47.19579247685815,-0.2000000029802321,-0.4000000059604642,0.4472136021639595,True,82.17978731059705,33.0653076171875,2.4853779756725936,2.1011928467971526,7500.0,100000000000000.0,2.13395639,0.1360099504056449,False,False,False
61,44,202.48212589452217,47.19579247687996,-0.100000001490116,-0.4000000059604642,0.4123105687056719,True,46.83770593538271,23.83159637451172,1.9653616652167036,2.2282296932558356,10000.0,1000000000000.0,1.67198642,0.008973103946961825,True,True,True
62,44,202.4820850145,47.19579247688724,0.0,-0.4000000059604642,0.4000000059604642,True,27.34843918415126,10.154544830322266,2.693221571338843,2.7441283234340634,5000.0,10000000000000.0,2.20702268,0.506925526231266,False,False,False
63,44,202.48204413447783,47.19579247687996,0.100000001490116,-0.4000000059604642,0.4123105687056719,True,19.979347796780885,13.823736190795898,1.4452929020797942,1.6106042843815966,5000.0,100000000000.0,1.28589947,0.6265985128212008,False,False,False
64,44,202.48200325445563,47.19579247685815,0.2000000029802321,-0.4000000059604642,0.4472136021639595,True,11.608899646041047,11.808469772338867,0.9830994082937563,-3.700810639761526,5000.0,100000000000.0,1.28589947,5.938013436964324,False,False,False
59,45,202.48220765463077,47.1958202546,-0.3000000044703481,-0.3000000044703481,0.4242640750339554,True,103.44471503019744,50.566307067871094,2.045724139818079,2.2373160042305718,30000.0,1000000.0,1.73920603,0.00011320702777428693,True,True,True
60,45,202.4821667745872,47.19582025463634,-0.2000000029802321,-0.3000000044703481,0.3605551329190887,True,61.58266293129414,30.020158767700195,2.0513769899695937,2.2373734879195157,30000.0,100.0,1.74400462,0.0001706907167182692,True,True,True
61,45,202.4821258945436,47.19582025465815,-0.100000001490116,-0.3000000044703481,0.3162277707289986,True,36.81789819189634,18.967077255249023,1.9411476895686293,2.216774749997097,20000.0,10000000000.0,1.65275995,0.020428047205700572,True,True,True
62,45,202.4820850145,47.19582025466543,0.0,-0.3000000044703481,0.3000000044703481,True,21.153595128979415,8.844005584716797,2.3918568262252853,2.2557885746349187,7500.0,10000000000000.0,2.03075292,0.018585777432121198,True,True,True
63,45,202.48204413445643,47.19582025465815,0.100000001490116,-0.3000000044703481,0.3162277707289986,True,17.301200659788684,13.555927276611328,1.2762830831675565,-0.10346198939518733,5000.0,100000000000.0,1.28589947,2.340664786597985,False,False,False
