species,rest_wavelength_vacuum_nm,Aki_s-1,reference_predicted_wavelength_nm,Aki_weight,aki_model_velocity_kms,aki_model_center_nm,free_model_velocity_kms,free_model_center_nm,free_model_amplitude
C I,1281.2203692775254,4500.0,1283.6746219820745,0.16071428571428573,641.7791721670181,1283.9660773104667,586.7127589649922,1283.7302568001217,1.1683473648506527e-15
C I,1281.320396442341,19000.0,1283.7748407547867,0.6785714285714286,641.7791721670181,1284.0663188376172,586.7127589649922,1283.8304799163432,3.7708786694247884e-16
C I,1281.4814401777264,28000.0,1283.9361929788854,1.0,641.7791721670181,1284.2277076963621,586.7127589649922,1283.9918391334925,5.897681723041014e-18
C I,1281.750513251221,3300.0,1284.2057814776215,0.11785714285714285,641.7791721670181,1284.497357404538,586.7127589649922,1284.2614393162698,0.00803640196009013
C I,1282.050594745953,9000.0,1284.5064377960432,0.32142857142857145,641.7791721670181,1284.7980819862755,586.7127589649922,1284.5621086652209,1.6514312028889403e-15
C I,1282.2776564103906,2200.0,1284.7339344104062,0.07857142857142857,641.7791721670181,1285.0256302532139,586.7127589649922,1284.7896151393509,1.862415422330524e-17
