species,rest_wavelength_vacuum_nm,Aki_s-1,reference_predicted_wavelength_nm,Aki_weight,Aki_model_velocity_kms,Aki_model_center_nm,Aki_model_amplitude,free_model_velocity_kms,free_model_center_nm,free_model_amplitude
C I,1281.2203692775254,4500.0,1283.6746219820745,0.16071428571428573,323.7200031485219,1282.6045963414963,2.121468019209791e-12,586.7127579499918,1283.7302567957754,1.6131300767556962e-15
C I,1281.320396442341,19000.0,1283.7748407547867,0.6785714285714286,323.7200031485219,1282.7047315753935,2.121468019209791e-12,586.7127579499918,1283.830479911997,2.0607671118145713e-15
C I,1281.4814401777264,28000.0,1283.9361929788854,1.0,323.7200031485219,1282.8659493020002,2.121468019209791e-12,586.7127579499918,1283.9918391291455,2.1160145112440788e-17
C I,1281.750513251221,3300.0,1284.2057814776215,0.11785714285714285,323.7200031485219,1283.1353130813247,2.121468019209791e-12,586.7127579499918,1284.261439311922,0.00803640196066377
C I,1282.050594745953,9000.0,1284.5064377960432,0.32142857142857145,323.7200031485219,1283.4357187833018,2.121468019209791e-12,586.7127579499918,1284.562108660872,3.3089985610059974e-17
C I,1282.2776564103906,2200.0,1284.7339344104062,0.07857142857142857,323.7200031485219,1283.663025764555,2.121468019209791e-12,586.7127579499918,1284.789615135001,4.523885506740543e-19
