velocity_kms,pabeta_flux,pagamma_flux,pabeta_error,pagamma_error,pabeta_pagamma_ratio,ratio_error,ratio_valid
-1400.0,2.0888117051407673,-45.454084438380995,3.680409430129554,3.8066720533571448,,,False
-1350.0,2.170324524321378,-47.165747588593014,3.6600860727496007,3.8293514540920723,,,False
-1300.0,2.059872301525174,-48.87741073880503,3.6399331844775697,3.8520308548269995,,,False
-1250.0,-0.6649680137811655,-50.58907388901705,3.6221019293597037,3.874710255561927,,,False
-1200.0,-3.389808329087505,-46.18917438713018,3.604270674241837,3.8543285526523814,,,False
-1150.0,-5.991808535776673,-41.409006692438176,3.5910155894918843,3.831267540211835,,,False
-1100.0,-7.401669208835888,-36.62883899774617,3.6221713545012526,3.808206527771288,,,False
-1050.0,-8.811529881895105,-35.301755291795445,3.653327119510621,3.792960186541743,,,False
-1000.0,-9.302548786126314,-38.10941131105777,3.6851218166765745,3.7870711709958353,,,False
-950.0,-2.9537706342621766,-40.9170673303201,3.7216726823493524,3.7811821554499283,,,False
-900.0,3.395007517601961,-43.724723349582426,3.758223548022131,3.775293139904021,,,False
-850.0,8.919540776541051,-43.981296144941815,3.8045311294422466,3.7824115388781863,,,False
-800.0,9.52206781319372,-44.15555131513754,3.9091012685435595,3.7899496573906166,,,False
-750.0,10.124594849846389,-44.329806485333265,4.013671407644872,3.797487775903047,,,False
-700.0,10.250784630155508,-42.328373132643925,4.07489134955349,3.8339605667692376,,,False
-650.0,8.02559052986758,-37.99249103683999,3.9221180470913857,3.9014793960725385,,,False
-600.0,5.800396429579651,-33.65660894103607,3.7693447446292807,3.968998225375839,,,False
-550.0,4.633526420379136,-29.320726845232134,3.6806094890101084,4.036517054679139,,,False
-500.0,7.878698665646988,-30.656060439495107,3.8588421413730147,4.051171092825754,,,False
-450.0,11.123870910914839,-32.01383669893927,4.037074793735921,4.065615929476139,,,False
-400.0,15.218627685734173,-33.37161295838344,4.148799948097066,4.080060766126524,,,False
-350.0,22.352464789161093,-32.041465739897035,4.0226186648389115,4.030194003832265,,,False
-300.0,29.48630189258801,-28.12587745675667,3.896437381580756,3.918467649845668,,,False
-250.0,36.00296217546029,-24.210289173616307,3.7882279426873944,3.8067412958590707,,,False
-200.0,40.6020820771405,-20.410497790188963,3.7358562088831846,3.697446446612026,,,False
-150.0,45.20120197882071,-21.448646421440177,3.6834844750789753,3.689738721929763,,,False
-100.0,47.78436881051468,-22.486795052691395,3.666627164353181,3.6820309972475003,,,False
-50.0,44.87533003100531,-23.524943683942613,3.7465243448969936,3.6743232725652373,,,False
0.0,41.96629125149594,-24.798466979714835,3.826421525440806,3.727815354424781,,,False
50.0,38.84880047056569,-26.274901664764187,3.8703538381313187,3.834066461110388,,,False
100.0,35.22956704233821,-27.751336349813542,3.8277189416638127,3.9403175677959954,,,False
150.0,31.610333614110736,-27.553126478774175,3.785084045196306,4.03961972709091,,,False
200.0,61.42050948585433,4.0054468096237414,3.79394960694679,4.008791874767618,15.334246690851444,15.376254807541775,True
250.0,162.75156118635894,35.56402009802166,3.9129983264157193,3.977964022444325,4.576298200759718,0.5235670108272937,True
300.0,264.08261288686356,67.12259338641958,4.0320470458846485,3.947136170121033,3.9343326823884825,0.23902908115818855,True
350.0,431.00404835651784,132.32771157952897,4.286176277570553,4.063911972277618,3.2570959114447042,0.1051421222292068,True
400.0,723.2610267068281,223.50610074692563,4.79842855044645,4.2946296286560335,3.2359789029909813,0.06578077852865596,True
450.0,1015.5180050571385,314.6844899143223,5.310680823322347,4.5253472850344485,3.2270990074332198,0.04938085971390984,True
500.0,1214.0042592588616,397.90089343738333,5.6631949349580095,4.740612882764069,3.0510216973159583,0.03903708993567544,True
550.0,1251.830180757031,387.01613664609107,5.742024627887,4.773253603603642,3.2345684384260536,0.042563071033198334,True
600.0,1289.6561022552007,376.1313798547988,5.820854320815991,4.805894324443216,3.4287383912319616,0.04646259071096629,True
650.0,1196.9909023227037,365.24662306350655,5.678581768891388,4.838535045282789,3.2772127837430527,0.04611414484549408,True
700.0,903.25321848625,311.70323353119045,5.195614945341001,4.686593867273329,2.897798679383499,0.046649260479206915,True
750.0,609.5155346497963,228.71967187018615,4.712648121790613,4.407266448196424,2.6649021033736773,0.05533034353412138,True
800.0,383.29450556033987,145.7361102091819,4.32026042712047,4.127939029119519,2.630058569630953,0.08017735451811554,True
850.0,250.8579941389254,68.90070820108743,4.053692353470621,4.196142574856031,3.640862346534868,0.22940586399845264,True
900.0,118.42148271751091,44.28884524750531,3.787124279820771,7.216334672971168,2.6738444422228715,0.44398304369204017,True
950.0,40.171315000134946,19.67698229392318,3.654393468776745,10.236526771086304,2.041538402590371,1.0781821473662105,True
1000.0,29.889649963319812,-4.934880659658944,3.6895410883548028,13.256718869201439,,,False
1050.0,19.607984926504678,-18.82506681023117,3.7246887079328603,12.607365044731354,,,False
1100.0,15.495943787037088,-26.115585895441704,3.749194237846884,9.699243136213134,,,False
1150.0,18.380367923950445,-33.40610498065223,3.7616314452762016,6.791121227694916,,,False
1200.0,21.264792060863797,-39.042072188669565,3.774068652705519,4.264066292212268,,,False
1250.0,22.79410804203158,-33.85906796928096,3.807298863212993,4.228775289930559,,,False
1300.0,22.933241058653646,-28.676063749892347,3.861860270450735,4.193484287648849,,,False
1350.0,23.07237407527571,-23.49305953050374,3.916421677688477,4.1581932853671395,,,False
1400.0,20.70533243827726,-22.011084402231486,3.9100824515658856,4.082817713157883,,,False
1450.0,16.012112256290088,-22.55453443276817,3.8472165398452347,3.9855054594439703,,,False
1500.0,11.318892074302914,-23.097984463304854,3.7843506281245833,3.8881932057300572,,,False
1550.0,8.286858952923293,-23.561392711041076,3.7318656882885626,3.8010749235942445,,,False
1600.0,6.649334367112262,-23.604464234138245,3.688095211888898,3.7674899396220223,,,False
1650.0,5.011809781301232,-23.647535757235413,3.644324735489234,3.7339049556497996,,,False
1700.0,1.9679573066788132,-23.690607280332582,3.6268155919930916,3.700319971677577,,,False
1750.0,-2.1426728595077043,-25.83814627156665,3.6292271258262536,3.6659167511734423,,,False
1800.0,-6.253303025694223,-29.005329116430794,3.631638659659416,3.631117083652088,,,False
1850.0,-8.922780455529116,-32.17251196129494,3.6434583145751653,3.5963174161307334,,,False
1900.0,-10.605841253925728,-33.45120997208543,3.6617174861863777,3.5766203542827255,,,False
1950.0,-12.28890205232234,-26.53463309579717,3.67997665779759,3.6224626088067993,,,False
2000.0,-12.46946639447205,-19.61805621950891,3.6922413925177984,3.668304863330873,,,False
2050.0,-11.723947967979143,-12.701479343220655,3.7008113799463285,3.714147117854947,,,False
2100.0,-10.978429541486237,-9.076102759563522,3.7093813673748586,3.776983948074636,,,False
2150.0,-9.499846837612244,-6.854945281887598,3.6991089359328675,3.847071661184454,,,False
2200.0,-7.615473264867395,-4.633787804211675,3.67840620286383,3.9171593742942723,,,False
