x_pixel,y_pixel,ra_deg,dec_deg,dx_arcsec,dy_arcsec,radius_from_center_arcsec,inside_nominal_aperture
0,0,202.4846195174965,47.19457022670053,-6.200000092387195,-4.80000007152557,7.840918430403845,False
1,0,202.48457863841597,47.19457022759477,-6.100000090897079,-4.80000007152557,7.762087463794121,False
2,0,202.48453775933544,47.19457022847446,-6.000000089406963,-4.80000007152557,7.683749199416196,False
3,0,202.48449688025488,47.1945702293396,-5.900000087916847,-4.80000007152557,7.605918861259584,False
4,0,202.48445600117435,47.1945702301902,-5.8000000864267305,-4.80000007152557,7.528612202072541,False
5,0,202.4844151220938,47.19457023102629,-5.700000084936615,-4.80000007152557,7.451845520065677,False
6,0,202.48437424301326,47.19457023184781,-5.600000083446499,-4.80000007152557,7.375635675739839,False
7,0,202.48433336393268,47.1945702326548,-5.500000081956383,-4.80000007152557,7.300000108778471,False
8,0,202.48429248485215,47.19457023344726,-5.400000080466267,-4.80000007152557,7.224956854935617,False
9,0,202.48425160577156,47.19457023422516,-5.300000078976151,-4.80000007152557,7.150524562841015,False
10,0,202.48421072669103,47.19457023498853,-5.200000077486035,-4.80000007152557,7.076722510633029,False
11,0,202.48416984761047,47.19457023573734,-5.1000000759959185,-4.80000007152557,7.00357062231858,False
12,0,202.48412896852992,47.19457023647164,-5.000000074505802,-4.80000007152557,6.931089483746658,False
13,0,202.48408808944933,47.194570237191385,-4.900000073015686,-4.80000007152557,6.85930035806854,False
14,0,202.48404721036874,47.1945702378966,-4.80000007152557,-4.80000007152557,6.7882252005432875,False
15,0,202.4840063312882,47.19457023858725,-4.700000070035454,-4.80000007152557,6.717886672531678,False
16,0,202.48396545220763,47.19457023926337,-4.600000068545338,-4.80000007152557,6.6483081545053695,False
17,0,202.48392457312707,47.194570239924964,-4.500000067055222,-4.80000007152557,6.579513757880781,False
18,0,202.48388369404648,47.194570240572006,-4.400000065565107,-4.80000007152557,6.51152833546921,False
19,0,202.48384281496593,47.194570241204495,-4.3000000640749905,-4.80000007152557,6.444377490315911,False
20,0,202.48380193588534,47.194570241822476,-4.200000062584874,-4.80000007152557,6.378087582681695,False
21,0,202.48376105680475,47.19457024242589,-4.100000061094758,-4.80000007152557,6.3126857349009935,False
22,0,202.48372017772417,47.19457024301479,-4.000000059604642,-4.80000007152557,6.24819983383075,False
23,0,202.48367929864358,47.19457024358911,-3.900000058114526,-4.80000007152557,6.184658530585079,False
24,0,202.483638419563,47.19457024414893,-3.80000005662441,-4.80000007152557,6.1220912372318494,False
25,0,202.4835975404824,47.194570244694184,-3.7000000551342938,-4.80000007152557,6.060528120109605,False
26,0,202.48355666140182,47.19457024522492,-3.6000000536441776,-4.80000007152557,6.000000089406963,False
27,0,202.48351578232123,47.19457024574108,-3.500000052154062,-4.80000007152557,5.940538784632579,False
28,0,202.48347490324065,47.194570246242726,-3.400000050663946,-4.80000007152557,5.882176555592352,False
29,0,202.48343402416006,47.19457024672983,-3.3000000491738297,-4.80000007152557,5.82494643848274,False
30,0,202.48339314507948,47.19457024720241,-3.2000000476837136,-4.80000007152557,5.76888212670542,False
31,0,202.48335226599886,47.194570247660415,-3.1000000461935975,-4.80000007152557,5.7140179360101575,False
32,0,202.48331138691827,47.194570248103894,-3.0000000447034814,-4.80000007152557,5.660388763580323,False
33,0,202.4832705078377,47.194570248532834,-2.9000000432133652,-4.80000007152557,5.608030040690135,False
34,0,202.48322962875707,47.19457024894723,-2.8000000417232496,-4.80000007152557,5.556977678585337,False
35,0,202.4831887496765,47.19457024934707,-2.7000000402331334,-4.80000007152557,5.5072680072704285,False
36,0,202.48314787059587,47.1945702497324,-2.6000000387430173,-4.80000007152557,5.458937706926977,False
37,0,202.48310699151529,47.19457025010319,-2.500000037252901,-4.80000007152557,5.412023731739356,False
38,0,202.48306611243467,47.19457025045943,-2.400000035762785,-4.80000007152557,5.366563225967513,False
39,0,202.48302523335406,47.19457025080113,-2.300000034272669,-4.80000007152557,5.322593432181323,False
40,0,202.48298435427347,47.19457025112828,-2.2000000327825533,-4.80000007152557,5.280151591658019,False
41,0,202.48294347519285,47.194570251440894,-2.100000031292437,-4.80000007152557,5.239274837043168,False
42,0,202.48290259611224,47.19457025173898,-2.000000029802321,-4.80000007152557,5.200000077486035,False
43,0,202.48286171703165,47.19457025202251,-1.900000028312205,-4.80000007152557,5.162363876581334,False
44,0,202.48282083795104,47.1945702522915,-1.8000000268220888,-4.80000007152557,5.126402323579861,False
45,0,202.48277995887042,47.19457025254598,-1.700000025331973,-4.80000007152557,5.092150898468562,False
46,0,202.4827390797898,47.19457025278588,-1.6000000238418568,-4.80000007152557,5.059644331663978,False
47,0,202.48269820070922,47.19457025301124,-1.5000000223517407,-4.80000007152557,5.0289164592087525,False
48,0,202.4826573216286,47.19457025322207,-1.4000000208616248,-4.80000007152557,5.000000074505802,False
49,0,202.482616442548,47.194570253418384,-1.3000000193715087,-4.80000007152557,4.972926777764921,False
50,0,202.48257556346738,47.19457025360015,-1.2000000178813925,-4.80000007152557,4.947726824468063,False
51,0,202.48253468438676,47.19457025376734,-1.1000000163912766,-4.80000007152557,4.924428974277758,False
52,0,202.48249380530615,47.19457025392003,-1.0000000149011605,-4.80000007152557,4.903060341913793,False
53,0,202.48245292622553,47.19457025405816,-0.9000000134110444,-4.80000007152557,4.883646251601907,False
54,0,202.48241204714492,47.19457025418174,-0.8000000119209284,-4.80000007152557,4.866210096750752,False
55,0,202.4823711680643,47.19457025429079,-0.7000000104308124,-4.80000007152557,4.85077320653611,False
56,0,202.4823302889837,47.19457025438531,-0.6000000089406963,-4.80000007152557,4.8373547210613275,False
57,0,202.48228940990307,47.194570254465276,-0.5000000074505803,-4.80000007152557,4.825971476718036,False
58,0,202.48224853082246,47.194570254530696,-0.4000000059604642,-4.80000007152557,4.816637903290411,False
59,0,202.48220765174185,47.194570254581606,-0.30000000447034814,-4.80000007152557,4.809365934229551,False
60,0,202.48216677266123,47.19457025461795,-0.2000000029802321,-4.80000007152557,4.804164931373357,False
61,0,202.48212589358062,47.19457025463978,-0.10000000149011605,-4.80000007152557,4.801041625204212,False
62,0,202.4820850145,47.194570254647054,0.0,-4.80000007152557,4.80000007152557,False
63,0,202.4820441354194,47.19457025463978,0.10000000149011605,-4.80000007152557,4.801041625204212,False
64,0,202.48200325633877,47.19457025461795,0.2000000029802321,-4.80000007152557,4.804164931373357,False
65,0,202.48196237725816,47.194570254581606,0.30000000447034814,-4.80000007152557,4.809365934229551,False
66,0,202.48192149817754,47.194570254530696,0.4000000059604642,-4.80000007152557,4.816637903290411,False
67,0,202.48188061909693,47.194570254465276,0.5000000074505803,-4.80000007152557,4.825971476718036,False
68,0,202.4818397400163,47.19457025438531,0.6000000089406963,-4.80000007152557,4.8373547210613275,False
69,0,202.4817988609357,47.19457025429079,0.7000000104308124,-4.80000007152557,4.85077320653611,False
70,0,202.48175798185508,47.19457025418174,0.8000000119209284,-4.80000007152557,4.866210096750752,False
71,0,202.48171710277447,47.19457025405816,0.9000000134110444,-4.80000007152557,4.883646251601907,False
72,0,202.48167622369385,47.19457025392003,1.0000000149011605,-4.80000007152557,4.903060341913793,False
73,0,202.48163534461324,47.19457025376734,1.1000000163912766,-4.80000007152557,4.924428974277758,False
74,0,202.48159446553262,47.19457025360015,1.2000000178813925,-4.80000007152557,4.947726824468063,False
75,0,202.481553586452,47.194570253418384,1.3000000193715087,-4.80000007152557,4.972926777764921,False
76,0,202.4815127073714,47.19457025322207,1.4000000208616248,-4.80000007152557,5.000000074505802,False
77,0,202.48147182829078,47.19457025301124,1.5000000223517407,-4.80000007152557,5.0289164592087525,False
78,0,202.4814309492102,47.19457025278588,1.6000000238418568,-4.80000007152557,5.059644331663978,False
79,0,202.48139007012958,47.19457025254598,1.700000025331973,-4.80000007152557,5.092150898468562,False
80,0,202.48134919104896,47.1945702522915,1.8000000268220888,-4.80000007152557,5.126402323579861,False
81,0,202.48130831196835,47.19457025202251,1.900000028312205,-4.80000007152557,5.162363876581334,False
82,0,202.48126743288776,47.19457025173898,2.000000029802321,-4.80000007152557,5.200000077486035,False
83,0,202.48122655380715,47.194570251440894,2.100000031292437,-4.80000007152557,5.239274837043168,False
84,0,202.48118567472653,47.19457025112828,2.2000000327825533,-4.80000007152557,5.280151591658019,False
85,0,202.48114479564595,47.19457025080113,2.300000034272669,-4.80000007152557,5.322593432181323,False
86,0,202.48110391656533,47.19457025045943,2.400000035762785,-4.80000007152557,5.366563225967513,False
87,0,202.48106303748472,47.19457025010319,2.500000037252901,-4.80000007152557,5.412023731739356,False
88,0,202.48102215840413,47.1945702497324,2.6000000387430173,-4.80000007152557,5.458937706926977,False
89,0,202.48098127932352,47.19457024934707,2.7000000402331334,-4.80000007152557,5.5072680072704285,False
90,0,202.48094040024293,47.19457024894723,2.8000000417232496,-4.80000007152557,5.556977678585337,False
91,0,202.4808995211623,47.194570248532834,2.9000000432133652,-4.80000007152557,5.608030040690135,False
92,0,202.48085864208173,47.194570248103894,3.0000000447034814,-4.80000007152557,5.660388763580323,False
93,0,202.48081776300114,47.194570247660415,3.1000000461935975,-4.80000007152557,5.7140179360101575,False
94,0,202.48077688392053,47.19457024720241,3.2000000476837136,-4.80000007152557,5.76888212670542,False
95,0,202.48073600483994,47.19457024672983,3.3000000491738297,-4.80000007152557,5.82494643848274,False
96,0,202.48069512575935,47.194570246242726,3.400000050663946,-4.80000007152557,5.882176555592352,False
97,0,202.48065424667877,47.19457024574108,3.500000052154062,-4.80000007152557,5.940538784632579,False
98,0,202.48061336759818,47.19457024522492,3.6000000536441776,-4.80000007152557,6.000000089406963,False
99,0,202.4805724885176,47.194570244694184,3.7000000551342938,-4.80000007152557,6.060528120109605,False
100,0,202.480531609437,47.19457024414893,3.80000005662441,-4.80000007152557,6.1220912372318494,False
101,0,202.48049073035642,47.19457024358911,3.900000058114526,-4.80000007152557,6.184658530585079,False
102,0,202.48044985127584,47.19457024301479,4.000000059604642,-4.80000007152557,6.24819983383075,False
103,0,202.48040897219525,47.19457024242589,4.100000061094758,-4.80000007152557,6.3126857349009935,False
104,0,202.48036809311466,47.194570241822476,4.200000062584874,-4.80000007152557,6.378087582681695,False
105,0,202.48032721403408,47.194570241204495,4.3000000640749905,-4.80000007152557,6.444377490315911,False
106,0,202.48028633495352,47.194570240572006,4.400000065565107,-4.80000007152557,6.51152833546921,False
107,0,202.48024545587293,47.194570239924964,4.500000067055222,-4.80000007152557,6.579513757880781,False
108,0,202.48020457679237,47.19457023926337,4.600000068545338,-4.80000007152557,6.6483081545053695,False
109,0,202.4801636977118,47.19457023858725,4.700000070035454,-4.80000007152557,6.717886672531678,False
110,0,202.48012281863126,47.1945702378966,4.80000007152557,-4.80000007152557,6.7882252005432875,False
111,0,202.48008193955067,47.194570237191385,4.900000073015686,-4.80000007152557,6.85930035806854,False
112,0,202.48004106047009,47.19457023647164,5.000000074505802,-4.80000007152557,6.931089483746658,False
113,0,202.48000018138953,47.19457023573734,5.1000000759959185,-4.80000007152557,7.00357062231858,False
114,0,202.47995930230897,47.19457023498853,5.200000077486035,-4.80000007152557,7.076722510633029,False
115,0,202.47991842322844,47.19457023422516,5.300000078976151,-4.80000007152557,7.150524562841015,False
116,0,202.47987754414785,47.19457023344726,5.400000080466267,-4.80000007152557,7.224956854935617,False
117,0,202.47983666506732,47.1945702326548,5.500000081956383,-4.80000007152557,7.300000108778471,False
118,0,202.47979578598674,47.19457023184781,5.600000083446499,-4.80000007152557,7.375635675739839,False
119,0,202.4797549069062,47.19457023102629,5.700000084936615,-4.80000007152557,7.451845520065677,False
120,0,202.47971402782565,47.1945702301902,5.8000000864267305,-4.80000007152557,7.528612202072541,False
121,0,202.47967314874512,47.1945702293396,5.900000087916847,-4.80000007152557,7.605918861259584,False
122,0,202.47963226966456,47.19457022847446,6.000000089406963,-4.80000007152557,7.683749199416196,False
123,0,202.47959139058403,47.19457022759477,6.100000090897079,-4.80000007152557,7.762087463794121,False
124,0,202.4795505115035,47.19457022670053,6.200000092387195,-4.80000007152557,7.840918430403845,False
0,1,202.48461951882322,47.19459800447868,-6.200000092387195,-4.700000070035454,7.780102943016532,False
1,1,202.4845786397213,47.19459800537291,-6.100000090897079,-4.700000070035454,7.700649438019994,False
2,1,202.48453776061933,47.194598006252605,-6.000000089406963,-4.700000070035454,7.6216797184883625,False
3,1,202.4844968815174,47.19459800711776,-5.900000087916847,-4.700000070035454,7.54320897866101,False
4,1,202.48445600241547,47.194598007968374,-5.8000000864267305,-4.700000070035454,7.465252953576547,False
5,1,202.4844151233135,47.194598008804434,-5.700000084936615,-4.700000070035454,7.3878279369927595,False
6,1,202.48437424421155,47.19459800962597,-5.600000083446499,-4.700000070035454,7.3109507995153455,False
7,1,202.48433336510962,47.19459801043295,-5.500000081956383,-4.700000070035454,7.234639006878885,False
8,1,202.48429248600766,47.19459801122539,-5.400000080466267,-4.700000070035454,7.158910638314252,False
