line,rest_wavelength_nm,predicted_wavelength_nm,fitted_wavelength_nm,fitted_velocity_kms,velocity_offset_kms,instrument_sigma_nm,instrument_fwhm_nm,observed_sigma_nm,observed_fwhm_nm,intrinsic_sigma_nm,intrinsic_fwhm_nm,intrinsic_velocity_width_kms,amplitude,amplitude_snr,integrated_flux,continuum_noise,chi2,reduced_chi2,aic,bic,n_points,fit_success,independent_m51_velocity_kms,pa_beta_pa_gamma_velocity_difference_kms,pa_beta_pa_gamma_flux_ratio,velocity_tolerance_kms,both_velocity_consistent
Pa-beta,1281.807,1284.2600247256587,1284.2614383914174,574.0506319380147,0.33063193801467605,0.5951926422854241,1.4015715646902314,0.5951926422854242,1.4015715646902316,1.0536712127723509e-08,2.481206092675792e-08,2.464354483950111e-06,0.008036405919980559,204.1792627135298,0.011989728612315509,3.935955989446343e-05,1827.4897719630833,130.5349837116488,1837.4897719630833,1842.2119668589155,19,True,573.72,15.160418635377368,3.3523777910594577,50.0,True
Pa-gamma,1093.8,1095.8932312313207,1095.949750702258,589.2110505733921,15.491050573392044,0.5078937095302154,1.1959982879311586,0.536150040695557,1.2625368629574634,0.17175810303297107,0.40445942391321554,47.07605036539738,0.0026612159677027415,32.90245645762017,0.0035764849189405873,8.088198433240103e-05,393.855541052414,28.132538646601002,403.855541052414,408.57773594824624,19,True,573.72,15.160418635377368,3.3523777910594577,50.0,True
