Te_K,required_Av_min,required_Av_max,ne_at_minimum_cm3,CHAOS_Av,CHAOS_Av_sigma,minimum_difference_Av,minimum_difference_sigma,summary_type,sigma_level,CHAOS_Av_lower,CHAOS_Av_upper,compatible_grid_points,Te_min_K,Te_max_K,log10_ne_min,log10_ne_max
5000.0,3.30220506,9.32109694,100000000000000.0,2.2372027972027975,0.028181818181818183,1.0650022627972024,37.79040287344912,temperature,,,,,,,,
7500.0,4.39388076,8.74881148,100000000000000.0,2.2372027972027975,0.028181818181818183,2.1566779627972026,76.52728255086848,temperature,,,,,,,,
10000.0,4.96185391,8.34826362,100000000000000.0,2.2372027972027975,0.028181818181818183,2.724651112797203,96.68116851861042,temperature,,,,,,,,
12500.0,5.3116061,8.04101241,100000000000000.0,2.2372027972027975,0.028181818181818183,3.074403302797202,109.09173009925556,temperature,,,,,,,,
15000.0,5.54994095,7.79787845,100000000000000.0,2.2372027972027975,0.028181818181818183,3.3127381527972024,117.5487731637717,temperature,,,,,,,,
20000.0,5.84496303,7.42201695,100000000000000.0,2.2372027972027975,0.028181818181818183,3.6077602327972023,128.01729858312652,temperature,,,,,,,,
30000.0,6.13941611,6.93006447,100000000000000.0,2.2372027972027975,0.028181818181818183,3.9022133127972025,138.46563367990072,temperature,,,,,,,,
,,,,,,,,sigma_compatibility,1.0,2.209020979020979,2.2653846153846158,0.0,,,,
,,,,,,,,sigma_compatibility,2.0,2.1808391608391613,2.2935664335664336,0.0,,,,
,,,,,,,,sigma_compatibility,3.0,2.152657342657343,2.321748251748252,0.0,,,,
