Te,ne,intrinsic_ratio,observed_ratio,ratio_sigma,ratio_observed_minus_intrinsic,required_Av,A_Pa_beta,A_Pa_gamma,predicted_ratio,ratio_residual,ratio_residual_sigma,solution_class,required_Av_minus_1sigma,required_Av_plus_1sigma,required_Av_uncertainty,CHAOS_Av,CHAOS_Av_sigma,delta_Av,difference_sigma
20000.0,1000000000000.0,1.69033284,3.352378,0.103204,1.66204516,6.66091961,2.40214076,3.14559264,3.352378,-1.33226763e-15,-1.29090697e-14,positive_Av,6.35674602,6.95586964,0.299561813,2.2372027972027975,0.028181818181818183,4.423716812797203,156.97059658312654
20000.0,10000000000000.0,1.81065476,3.352378,0.103204,1.54172324,5.99202009,2.16091419,2.82970752,3.352378,0.0,0.0,positive_Av,5.6878465,6.28697013,0.299561813,2.2372027972027975,0.028181818181818183,3.754817292797202,133.235452325062
20000.0,100000000000000.0,1.83823529,3.352378,0.103204,1.51414271,5.84496303,2.10788071,2.76026041,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,5.54078944,6.13991307,0.299561813,2.2372027972027975,0.028181818181818183,3.6077602327972023,128.01729858312652
30000.0,100.0,1.74400462,3.352378,0.103204,1.60837338,6.35684928,2.29248327,3.00199664,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,6.05267568,6.65179931,0.299561813,2.2372027972027975,0.028181818181818183,4.119646482797203,146.18100422828783
30000.0,1000.0,1.74342676,3.352378,0.103204,1.60895124,6.36007301,2.29364585,3.00351904,3.352378,0.0,0.0,positive_Av,6.05589941,6.65502304,0.299561813,2.2372027972027975,0.028181818181818183,4.122870212797203,146.29539464764267
30000.0,10000.0,1.74248555,3.352378,0.103204,1.60989245,6.36532596,2.29554023,3.00599973,3.352378,0.0,0.0,positive_Av,6.06115237,6.660276,0.299561813,2.2372027972027975,0.028181818181818183,4.128123162797202,146.48178964764264
30000.0,100000.0,1.74089069,3.352378,0.103204,1.61148731,6.37423351,2.29875258,3.01020628,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,6.07005992,6.66918354,0.299561813,2.2372027972027975,0.028181818181818183,4.137030712797202,146.79786400248136
30000.0,1000000.0,1.73920603,3.352378,0.103204,1.61317197,6.38365147,2.302149,3.01465387,3.352378,0.0,0.0,positive_Av,6.07947788,6.6786015,0.299561813,2.2372027972027975,0.028181818181818183,4.146448672797202,147.13204967990072
30000.0,10000000.0,1.73502036,3.352378,0.103204,1.61735764,6.40709065,2.31060191,3.02572293,3.352378,8.8817842e-16,8.606046470000001e-15,positive_Av,6.10291706,6.70204068,0.299561813,2.2372027972027975,0.028181818181818183,4.169887852797203,147.96376251861042
30000.0,100000000.0,1.69839909,3.352378,0.103204,1.65397891,6.61461006,2.38544005,3.12372314,3.352378,0.0,0.0,positive_Av,6.31043646,6.90956009,0.299561813,2.2372027972027975,0.028181818181818183,4.3774072627972025,155.32735448635233
30000.0,1000000000.0,1.70157938,3.352378,0.103204,1.65079862,6.59641189,2.37887721,3.11512913,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,6.29223829,6.89136192,0.299561813,2.2372027972027975,0.028181818181818183,4.359209092797203,154.6816129702233
30000.0,10000000000.0,1.69737191,3.352378,0.103204,1.65500609,6.62049497,2.38756234,3.12650227,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,6.31632138,6.915445,0.299561813,2.2372027972027975,0.028181818181818183,4.383292172797203,155.53617387344914
30000.0,100000000000.0,1.6442055,3.352378,0.103204,1.7081725,6.93006447,2.49920301,3.27269523,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,6.62589088,7.22501451,0.299561813,2.2372027972027975,0.028181818181818183,4.692861672797202,166.52089806699746
30000.0,1000000000000.0,1.70989686,3.352378,0.103204,1.64248114,6.54897832,2.36177115,3.09272882,3.352378,0.0,0.0,positive_Av,6.24480473,6.84392836,0.299561813,2.2372027972027975,0.028181818181818183,4.311775522797202,152.99848629280393
30000.0,10000000000000.0,1.77036878,3.352378,0.103204,1.58200922,6.21089736,2.23984834,2.93307143,3.352378,0.0,0.0,positive_Av,5.90672376,6.50584739,0.299561813,2.2372027972027975,0.028181818181818183,3.9736945627972022,141.00206513151363
30000.0,100000000000000.0,1.78342589,3.352378,0.103204,1.56895211,6.13941611,2.21406991,2.8993147,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.83524251,6.43436614,0.299561813,2.2372027972027975,0.028181818181818183,3.9022133127972025,138.46563367990072
