line,center_nm,center_error_nm,velocity_kms,velocity_error_kms,sigma_nm,sigma_error_nm,fwhm_nm,fwhm_error_nm,fwhm_velocity_kms,integrated_flux,integrated_flux_error,snr,peak_flux,peak_velocity_kms,reduced_chi2
Pa-beta,1284.233727240677,0.002159516064968824,567.5694737024145,0.5050734074689024,0.5809452170089396,0.0019822186445693376,1.3680214420775059,0.004667768197865955,319.35192326580244,2125.1027227030704,10.749911147218047,197.6856081506332,1309.4888910178188,630.3218569029958,18.09471462597894
Pa-gamma,1095.8953884984176,0.00560492842617564,574.3112711698252,1.536218019562321,0.5447775122083475,0.0054285043130714115,1.2828530058303094,0.012783150770957524,350.93646702676324,665.095890123233,9.29145407599257,71.58146450314165,429.49647413715485,496.0994805864801,5.024235153682334
