plane_index,wavelength_nm,velocity_kms,aperture_sum,window_half_width
197,1095.6100308976602,496.0994805864801,409.98721643417105,0
196,1094.9740308860783,321.78241461446413,92.68135044651646,1
197,1095.6100308976602,496.0994805864801,409.98721643417105,1
198,1096.246030909242,670.4165465584962,371.4661194739803,1
195,1094.3380308744963,147.4653486425147,-16.769487984718815,2
196,1094.9740308860783,321.78241461446413,92.68135044651646,2
197,1095.6100308976602,496.0994805864801,409.98721643417105,2
198,1096.246030909242,670.4165465584962,371.4661194739803,2
199,1096.882030920824,844.7336125305121,81.58398001424727,2
194,1093.7020308629144,-26.85171732950131,-11.04901313012646,3
195,1094.3380308744963,147.4653486425147,-16.769487984718815,3
196,1094.9740308860783,321.78241461446413,92.68135044651646,3
197,1095.6100308976602,496.0994805864801,409.98721643417105,3
198,1096.246030909242,670.4165465584962,371.4661194739803,3
199,1096.882030920824,844.7336125305121,81.58398001424727,3
200,1097.518030932406,1019.0506785025282,-4.794494355878522,3
193,1093.0660308513325,-201.16878330151732,-6.856553054624982,4
194,1093.7020308629144,-26.85171732950131,-11.04901313012646,4
195,1094.3380308744963,147.4653486425147,-16.769487984718815,4
196,1094.9740308860783,321.78241461446413,92.68135044651646,4
197,1095.6100308976602,496.0994805864801,409.98721643417105,4
198,1096.246030909242,670.4165465584962,371.4661194739803,4
199,1096.882030920824,844.7336125305121,81.58398001424727,4
200,1097.518030932406,1019.0506785025282,-4.794494355878522,4
201,1098.154030943988,1193.3677444744776,-30.784851889456473,4
