line,component,velocity_kms,sigma_kms,flux,reduced_chi2
Pa-beta,1,120.07462807865318,499.99999999999994,185.2416181408142,11.200517814557692
Pa-beta,2,569.0647518629124,133.03899758768262,2063.356362125243,11.200517814557692
Pa-gamma,1,430.4063775579933,47.85534939035493,443.0675069760899,91.043407571426
Pa-gamma,2,730.8217649646988,52.781211622212304,331.14998223340837,91.043407571426
