wavelength_nm,summed_flux,summed_err,continuum,continuum_subtracted,is_blue_continuum,is_red_continuum,is_line_search_region
1088.614030770259,309.01092767715454,3.7969706017218416,307.64662710211127,1.3643005750432735,True,False,False
1089.250030781841,301.68075025081635,3.8760387336041644,307.7294362381241,-6.048685987307749,True,False,False
1089.8860307934228,316.98331093788147,3.795640173064575,307.812245374137,9.171065563744492,True,False,False
1090.5220308050048,305.8321282863617,3.7751090548360513,307.89505451014986,-2.0629262237881676,True,False,False
1091.1580308165867,303.86187982559204,3.8013895088767753,307.97786364616275,-4.115983820570705,False,False,False
1091.7940308281686,317.6155092716217,4.036783193317065,308.06067278217563,9.554836489446075,False,False,False
1092.4300308397505,311.5191023349762,4.087142824183868,308.1434819181885,3.375620416787683,False,False,True
1093.0660308513325,323.8074440956116,3.6976266198100523,308.2262910542014,15.581153041410175,False,False,True
1093.7020308629144,318.82536816596985,3.6707548607714093,308.3091001902143,10.516267975755568,False,False,True
1094.3380308744963,312.31527745723724,4.041182484245702,308.39190932622716,3.923368131010079,False,False,True
1094.9740308860783,420.9765000343323,3.933706068901444,308.47471846224005,112.50178157209223,False,False,True
1095.6100308976602,737.4927501678467,4.738066567457948,308.55752759825293,428.93522256959375,False,False,True
1096.246030909242,698.1820373535156,4.85186326121727,308.6403367342658,389.5417006192498,False,False,True
1096.882030920824,407.51028203964233,3.8780325384368344,308.7231458702787,98.78713616936363,False,False,True
1097.518030932406,320.3421918153763,14.40745304274279,308.8059550062916,11.536236809084699,False,False,True
1098.154030943988,293.5622184276581,4.2687474711099505,308.88876414230447,-15.326545714646386,False,False,True
1098.7900309555698,310.2692047357559,4.1457109916507635,308.97157327831735,1.2976314574385697,False,False,False
1099.4260309671517,307.0118169784546,3.806447260640089,309.05438241433023,-2.0425654358756447,False,True,False
1100.0620309787337,305.4989194869995,3.6893585433049885,309.1371915503431,-3.6382720633436065,False,True,False
1100.6980309903156,293.0943036079407,3.568035024522551,309.220000686356,-16.125697078415328,False,True,False
1101.3340310018975,315.8451159000397,3.727856770646129,309.3028098223689,6.542306077670787,False,True,False
1101.9700310134795,322.2260935306549,3.972206460845968,309.3856189583817,12.840474572273195,False,True,False
