model,chi2,delta_chi2_vs_pa_beta,AIC,BIC,n_parameters,pa_beta_velocity_kms,ci_velocity_kms
Pa beta,1827.5205496966805,0.0,1835.5205496966805,1839.2983056133462,4,573.5012241727611,
Pa beta + C I Aki,1827.5205687895223,1.909284173962078e-05,1839.5205687895223,1845.187202664521,6,573.5020072336234,323.7200031485219
Pa beta + C I free,1827.5205496963188,-3.617515176301822e-10,1849.5205496963188,1859.9093784671495,11,798.3859363489402,586.7127579499918
