window_radius_planes,pabeta_planes,pagamma_planes,pabeta_wave_low_nm,pabeta_wave_high_nm,pagamma_wave_low_nm,pagamma_wave_high_nm,pabeta_flux,pabeta_sigma,pagamma_flux,pagamma_sigma,pabeta_pagamma_ratio,pabeta_pagamma_ratio_sigma
0,1,1,1283.8660343259105,1283.8660343259105,1095.61003089766,1095.61003089766,761.331868071279,3.5833145061276452,253.60501577430736,3.013410391779199,3.0020378963987717,0.03836757834690174
1,3,3,1283.2300343143286,1284.5020343374924,1094.974030886078,1096.2460309092419,1281.960220781463,5.796973544286545,394.0570552706188,4.986170947213544,3.2532350420704343,0.043714239032762184
2,5,5,1282.5940343027464,1285.1380343490741,1094.3380308744963,1096.8820309208238,1949.463679921591,6.874316000831812,547.9732449813853,6.127891881141634,3.5575891665802306,0.04171494512558075
3,7,7,1281.9580342911645,1285.774034360656,1093.7020308629142,1097.518030932406,2121.346806130399,7.662281297717748,549.2523010972802,11.26785502602572,3.8622447314147506,0.0804522831672363
4,9,9,1281.3220342795828,1286.4100343722382,1093.0660308513322,1098.1540309439877,2164.3880011875663,8.351846002519626,517.9503813822544,11.826487844226536,4.178755492778021,0.09676747876558887
