model,chi2,AIC,BIC,n_parameters,velocity_kms
Pa beta,1827.5205496966805,1835.5205496966805,1839.2983056133462,4,573.5012241727611
Cs II,262392.0987233334,262400.0987233334,262403.87647925003,4,823.7199999999999
C I Aki-weighted,6383.981311859242,6391.981311859242,6395.759067775908,4,641.7791721670181
C I free-amplitude,1827.520549694781,1845.520549694781,1854.020500507279,9,586.7127589649922
