species,element,ion_stage,observed_wavelength_air_nm,observed_wavelength_uncertainty_nm,ritz_wavelength_air_nm,ritz_wavelength_uncertainty_nm,observed_wavelength_vacuum_nm,ritz_wavelength_vacuum_nm,relative_intensity,Aki_s-1,accuracy,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,transition_type,transition_probability_reference,line_reference,source,source_file
C I,C,1,nan,nan,1272.46,0.06,nan,1272.808084770852,nan,240.0,D,80782.44916,88639.1,2s2.2p.4p,3D,1,2s2.2p.(2P*<3/2>).7d,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1272.6785,0.0004,1272.678,0.0004,1273.0266441231947,1273.026143987377,11.0,nan,,163012.6247,170867.923,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,2s2.2p5.(2P*<3/2>).6d,2[3/2]*,1,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
Al II,Al,2,nan,nan,1272.71,nan,nan,1273.0581526797168,nan,2090.0,E,138561.8,146416.9,3s.6f,3F*,4,3s.9g,3G,3,,"T6298c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Al II,Al,2,nan,nan,1272.71,nan,nan,1273.0581526797168,nan,107000.0,D,138561.8,146416.9,3s.6f,3F*,4,3s.9g,3G,4,,"T6298c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Al II,Al,2,nan,nan,1272.71,nan,nan,1273.0581526797168,nan,1700000.0,C+,138561.8,146416.9,3s.6f,3F*,4,3s.9g,3G,5,,"T6298c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1272.9959,0.0005,1272.99631,0.00023,1273.344130340413,1273.344540451784,47.0,nan,,43163.326,51016.66,3d6.(5D).4s (6D).5s,e 7D,4,3d6.(5D).4s (6D).5p,u 5F*,5,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Si II,Si,2,nan,nan,1273.164,nan,nan,1273.512276002462,nan,11100000.0,C+,113962.08,121814.38,3s2.6p,2P*,1/2,3s2.8s,2S,1/2,,T7166,,NIST ASD,m51_nist_1270_1300_raw.csv
Ar II,Ar,2,1273.24024,5e-05,1273.24026,5e-05,1273.588536712022,1273.5885567174548,85.0,nan,,183090.8927,190942.722,3s2.3p4.(3P).5s,2P,3/2,3s2.3p4.(3P).5p,2S*,1/2,,,L11520,NIST ASD,m51_nist_1270_1300_raw.csv
Si IV,Si,4,nan,nan,1273.292,nan,nan,1273.6403107719275,nan,357000.0,B+,328200.04,336051.55,2p6.7f,2F*,5/2,2p6.8d,2D,5/2,,c33,,NIST ASD,m51_nist_1270_1300_raw.csv
Si IV,Si,4,nan,nan,1273.292,nan,nan,1273.6403107719275,nan,7510000.0,A,328200.04,336051.55,2p6.7f,2F*,5/2,2p6.8d,2D,3/2,,c33,,NIST ASD,m51_nist_1270_1300_raw.csv
Si IV,Si,4,nan,nan,1273.292,nan,nan,1273.6403107719275,nan,7150000.0,A,328200.04,336051.55,2p6.7f,2F*,7/2,2p6.8d,2D,5/2,,c33,,NIST ASD,m51_nist_1270_1300_raw.csv
Ar I,Ar,1,1273.3418,nan,1273.3418,nan,1273.6901242994293,1273.6901242994293,30.0,1100000.0,D,105617.27,113468.473,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,,T1618n,L2634,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1273.37245,7e-05,1273.37427,0.00021,1273.7207826250929,1273.7226031194716,6.0,nan,,104315.373,112166.376,3d6.(3H).4d,2K,13/2,3d5.(2H).4s.4p.(3P*),4I*,11/2,,,L18349c145,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1273.4105,0.0007,1273.41044,0.00015,1273.758842960869,1273.7587829445713,0.4,nan,,107197.107,115047.887,3d6.(5D).6p,6P*,7/2,3d6.(5D).6d,6P,5/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
