species,element,ion_stage,observed_wavelength_air_nm,observed_wavelength_uncertainty_nm,ritz_wavelength_air_nm,ritz_wavelength_uncertainty_nm,observed_wavelength_vacuum_nm,ritz_wavelength_vacuum_nm,relative_intensity,Aki_s-1,accuracy,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,transition_type,transition_probability_reference,line_reference,source,source_file
C I,C,1,nan,nan,1278.935,0.005,nan,1279.2848436413133,nan,7000.0,D,81325.81077,89142.68,2s2.2p.4p,3P,1,2s2.2p.(2P*<3/2>).8d,2[5/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1278.945,0.0005,1278.94504,0.00023,1279.294846357765,1279.294886368631,123.0,nan,,40404.518,48221.324,3d6.(5D).4s.4p.(1P*),x 5D*,1,3d7.(4F).5s,e 5F,1,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
O I,O,1,nan,nan,1279.035,nan,nan,1279.3848708058367,nan,177000.0,C+,99680.968,107497.224,2s2.2p3.(4S*).4p,3P,1,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,,NIST ASD,m51_nist_1270_1300_raw.csv
O I,O,1,nan,nan,1279.0483,nan,nan,1279.3981744187192,nan,295000.0,C+,99681.049,107497.224,2s2.2p3.(4S*).4p,3P,2,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,nan,nan,1279.0509,6e-06,nan,1279.4007751249974,nan,173.2,AA,nan,nan,1s.3d,1D,2,1s.5f,3F*,2,,T8636c73,,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,nan,nan,1279.052125,6e-06,nan,1279.4020004577626,nan,1320000.0,AA,nan,nan,1s.3d,1D,2,1s.5f,3F*,3,,T8636c73,,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1279.057,nan,1279.05006,6e-06,1279.4068767820338,1279.3999348968155,20.0,3247500.0,AAA,nan,nan,1s.3d,1D,2,1s.5f,1F*,3,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
O I,O,1,nan,nan,1279.0908,nan,nan,1279.4406859636474,nan,58900.0,C+,99681.309,107497.224,2s2.2p3.(4S*).4p,3P,0,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Mg II,Mg,2,1279.224,nan,1279.205,nan,1279.573922146827,1279.554916985561,nan,nan,,109062.32,116877.54,2p6.6f,2F*,5/2,2p6.10g,2G,7/2,,,L6692,NIST ASD,m51_nist_1270_1300_raw.csv
Mg II,Mg,2,1279.224,nan,1279.209,nan,1279.573922146827,1279.5589180721433,nan,nan,,109062.35,116877.54,2p6.6f,2F*,7/2,2p6.10g,2G,9/2,,,L6692,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1279.3517,0.0003,1279.35143,0.00011,1279.7016568359818,1279.7013867626376,1.0,nan,,107165.76,114980.083,3d6.(5D).6p,4F*,7/2,3d6.(5D).6d,6P,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1279.4531,0.00017,1279.45245,0.00015,1279.8030843808726,1279.8024342043027,7.0,nan,,65580.065,73393.771,3d6.(3G).4p,x 4G*,11/2,3d5.4s2,4F,9/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1279.59916,0.00019,1279.59918,0.00013,1279.9491840574951,1279.949204062928,2.1,nan,,107217.854,115030.664,3d6.(5D).6p,6F*,9/2,3d6.(3D).4d,4F,9/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1279.73438,0.00015,1279.73432,0.0001,1280.0844407895033,1280.0843807732044,1.8,nan,,106361.238,114173.223,3d6.(5D).6p,6D*,9/2,3d6.(5D).6d,6D,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1280.11622,0.0002,1280.1163,0.0003,1280.4663845150624,1280.466464536794,3100.0,nan,,170492.1254,178301.7795,5p5.(2P*<1/2>).7p,2[1/2],1,5p5.(2P*<1/2>).8s,2[1/2]*,0,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
Ar I,Ar,1,1280.2739,nan,1280.2737,nan,1280.6241073483711,1280.6239072940418,200.0,5700000.0,D,105617.27,113425.964,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,,T1618n,L2634,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1280.6293,0.0002,1280.62905,0.0001,1280.9796038918755,1280.9793538239635,2.1,nan,,105127.773,112934.3,3d6.(5D).5d,4D,5/2,3d6.(5D<4>).5f,2[2]*,5/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1280.7149,0.0005,1280.71518,0.00023,1281.0652271449258,1281.0655072209872,355.0,nan,,29356.744,37162.746,3d6.4s2,b 3D,2,3d7.(4F).4p,y 3F*,3,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Mg II,Mg,2,1280.724,nan,1280.717,nan,1281.0743296169214,1281.0673277153862,2.0,nan,,109072.05,116878.04,2p6.6g,2G,9/2,2p6.10h,2H*,11/2,,,L6692,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1280.8244,0.0005,1280.8243,0.00023,1281.1747568903743,1281.1746568632095,204.0,nan,,40231.336,48036.673,3d6.(5D).4s.4p.(1P*),x 5D*,2,3d7.(4F).5s,e 5F,2,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1280.87,0.03,nan,1281.2203692775254,nan,4500.0,D,80801.28887,88606.32,2s2.2p.4p,3D,2,2s2.2p.(2P*<3/2>).7d,2[5/2]*,3,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
N III,N,3,nan,nan,1280.9,nan,nan,1281.2503774269687,nan,10800000.0,B,378432.8,386237.7,2s.2p.(3P*).4p,4S,3/2,2s.2p.(3P*).4d,4P*,5/2,,T7192LS,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1280.97,0.07,nan,1281.320396442341,nan,19000.0,D,80834.62491,88639.1,2s2.2p.4p,3D,3,2s2.2p.(2P*<3/2>).7d,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Mg II,Mg,2,1281.017,nan,1281.017,nan,1281.3674092098097,1281.3674092098097,1.0,nan,,109073.97,116878.13,2p6.6h,2H*,11/2,2p6.10i,2I,9/2 or 11/2 or 13/2,,,L6692,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1281.131,0.004,nan,1281.4814401777264,nan,28000.0,D,80801.28887,88604.76,2s2.2p.4p,3D,2,2s2.2p.(2P*<3/2>).7d,2[5/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1281.4,0.005,nan,1281.750513251221,nan,3300.0,D,80782.44916,88584.28,2s2.2p.4p,3D,1,2s2.2p.(2P*<3/2>).8s,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1281.7,0.03,nan,1282.050594745953,nan,9000.0,D,81344.05485,89144.03,2s2.2p.4p,3P,2,2s2.2p.(2P*<3/2>).8d,2[5/2]*,3,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.792576,8e-06,nan,1282.1431958941685,nan,2826300.0,AAA,97492.2112,105291.651993,3p,2P*,1/2,5d,2D,3/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.794286,9e-06,nan,1282.144906358689,nan,1637700.0,AAA,97492.221701,105291.65209,3s,2S,1/2,5p,2P*,3/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.796036,9e-06,nan,1282.1466568340757,nan,301570.0,AAA,97492.2112,nan,3p,2P*,1/2,5s,2S,1/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.798135,9e-06,nan,1282.148756404268,nan,1637800.0,AAA,97492.221701,105291.62867,3s,2S,1/2,5p,2P*,1/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,1281.8072,0.0008,1281.807,0.001,1282.1578238667705,1282.1576238124405,32000.0,2200800.0,AAA,97492.304,105291.657,3,,,5,,,,T8637,L7421,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.809075,7e-06,nan,1282.159699376113,nan,4239400.0,AAA,97492.319433,nan,3d,2D,3/2,5f,2F*,5/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.809111,8e-06,nan,1282.1597353858926,nan,3391500.0,AAA,97492.319611,nan,3p,2P*,3/2,5d,2D,5/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.810348,9e-06,nan,1282.1609727219231,nan,14954.0,AAA,97492.319433,105291.65209,3d,2D,3/2,5p,2P*,3/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.810393,8e-06,nan,1282.1610177341472,nan,565250.0,AAA,97492.319611,105291.651993,3p,2P*,3/2,5d,2D,3/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.813853,9e-06,nan,1282.1644786740546,nan,603200.0,AAA,97492.319611,nan,3p,2P*,3/2,5s,2S,1/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.814197,9e-06,nan,1282.164822767502,nan,149560.0,AAA,97492.319433,105291.62867,3d,2D,3/2,5p,2P*,1/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.814378,1e-05,nan,1282.1650038166706,nan,4542100.0,AAA,97492.355566,105291.6637,3d,2D,5/2,5f,2F*,7/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.815013,7e-06,nan,1282.1656389891677,nan,302810.0,AAA,97492.355566,nan,3d,2D,5/2,5f,2F*,5/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
H I,H,1,nan,nan,1281.816286,9e-06,nan,1282.166912334978,nan,134590.0,AAA,97492.355566,105291.65209,3d,2D,5/2,5p,2P*,3/2,,T7771,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1281.927,0.005,nan,1282.2776564103906,nan,2200.0,D,81344.05485,89142.68,2s2.2p.4p,3P,2,2s2.2p.(2P*<3/2>).8d,2[5/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1281.9912,0.0013,1281.99242,0.00023,1282.3418738503028,1282.3430941817157,29.0,nan,,24335.766,32133.991,3d7.(2P).4s,c 3P,2,3d6.(5D).4s.4p.(3P*),z 3F*,2,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1282.0635,0.0005,1282.0641,0.00023,1282.4141934905854,1282.4147936535753,9.0,nan,,41130.599,48928.388,3d6.(5D).4s.4p.(1P*),x 5F*,1,3d7.(4F).5s,e 3F,2,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1282.2794,0.0002,1282.27968,0.00012,1282.6301521398293,1282.6304322158917,1.4,nan,,106361.238,114157.716,3d6.(5D).6p,6D*,9/2,3d6.(5D).6d,4G,11/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1282.32641,0.00019,1282.32623,0.00016,1282.6771749101072,1282.6769948612102,9.0,6000.0,D,65696.053,73492.248,3d6.(3G).4p,x 4G*,9/2,3d5.4s2,4F,7/2,,T6892c83,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Al III,Al,3,nan,nan,1282.345,nan,nan,1282.6957699600864,nan,22600000.0,A+,170637.35,178433.43,2p6.5s,2S,1/2,2p6.5p,2P*,1/2,,c32,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1282.486,0.0005,1282.48596,0.00023,1282.8368082627942,1282.8367682519279,407.0,nan,,24338.767,32133.991,3d6.4s2,b 3G,3,3d6.(5D).4s.4p.(3P*),z 3F*,2,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1282.6585,0.0005,1282.65774,0.00023,1283.0093551225305,1283.0085949160757,12.0,nan,,46889.142,54683.322,3d6.(3F2).4s.4p.(3P*),x 3F*,4,3d7.(4F).4d,f 3F,4,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1284.0573,0.0005,1284.05742,0.00023,1284.4085351091016,1284.4086551417004,229.0,nan,,39969.853,47755.537,3d6.(5D).4s.4p.(1P*),x 5D*,3,3d7.(4F).5s,e 5F,3,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1284.19205,0.00018,1284.19136,0.0001,1284.54332171434,1284.5426315268992,2.1,nan,,105155.093,112939.965,3d6.(3F2).4d,4G,9/2,3d6.(5D<4>).5f,2[5]*,9/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1284.26406,0.00013,1284.26391,0.0002,1284.6153512760816,1284.6152012353336,4500.0,nan,,163189.3511,170973.7833,5p5.(2P*<1/2>).7s,2[1/2]*,1,5p5.(2P*<1/2>).4f,2[5/2],2,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1284.2937,0.0003,1284.29397,0.00013,1284.6449993278827,1284.645269401229,1.2,nan,,105127.773,112912.023,3d6.(5D).5d,4D,5/2,3d6.(5D<4>).5f,2[3]*,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1284.502,0.005,nan,1284.853355913282,nan,50000.0,D,80801.28887,88584.28,2s2.2p.4p,3D,2,2s2.2p.(2P*<3/2>).8s,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1284.50327,8e-05,1284.5042,0.0001,1284.854626258282,1284.85555651092,10.0,nan,,107197.107,114980.083,3d6.(5D).6p,6P*,7/2,3d6.(5D).6d,6P,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1284.5854,0.0004,1284.58656,8e-05,1284.9367785691923,1284.9379388843104,1.0,nan,,106863.62,114646.097,3d6.(5D).6p,4D*,7/2,3d6.(5D).6d,4G,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1284.596,nan,1284.594414,7e-06,1284.947381448721,1284.9457950178785,nan,1517600.0,AAA,nan,nan,1s.3p,3P*,2,1s.5s,3S,1,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1284.596,nan,1284.598043,7e-06,1284.947381448721,1284.9494250037094,nan,910570.0,AAA,nan,nan,1s.3p,3P*,1,1s.5s,3S,1,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,nan,nan,1284.642727,7e-06,nan,1284.994121142284,nan,303520.0,AAA,nan,nan,1s.3p,3P*,0,1s.5s,3S,1,,T8636c73,,NIST ASD,m51_nist_1270_1300_raw.csv
Si II,Si,2,nan,nan,1284.672,nan,nan,1285.0234020944051,nan,1620000.0,D,118522.86,126304.82,3s2.6d,2D,3/2,3s2.9f,2F*,5/2,,"T6527c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Si II,Si,2,nan,nan,1284.683,nan,nan,1285.0344050825968,nan,116000.0,E,118522.93,126304.82,3s2.6d,2D,5/2,3s2.9f,2F*,5/2,,"T6527c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Si II,Si,2,nan,nan,1284.683,nan,nan,1285.0344050825968,nan,1740000.0,D,118522.93,126304.82,3s2.6d,2D,5/2,3s2.9f,2F*,7/2,,"T6527c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Ar II,Ar,2,1284.7057,0.0002,1284.70579,7e-05,1285.0571112491386,1285.0572012735875,48.0,nan,,182951.2609,190733.0156,3s2.3p4.(3P).5s,4P,1/2,3s2.3p4.(3P).5p,4D*,1/2,,,L9974,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1284.963,0.02,nan,1285.3144811457216,nan,5000.0,D,81311.0544,89091.25,2s2.2p.4p,3P,0,2s2.2p.(2P*<1/2>).8d,2[3/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1285.3034,0.0004,1285.30376,0.00023,1285.654973616907,1285.6553337147027,5.0,73400.0,C+,162517.8755,170296.0099,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,1,,T6976,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1285.628,0.021,nan,1285.9796617961124,nan,30000.0,D,80782.44916,88558.62,2s2.2p.4p,3D,1,2s2.2p.(2P*<1/2>).7d,2[3/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Mg II,Mg,2,nan,nan,1285.63,nan,nan,1285.981662339423,nan,130000.0,D+,109062.32,116838.48,2p6.6f,2F*,5/2,2p6.10d,2D,3/2,,"c59,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Mg II,Mg,2,nan,nan,1285.635,nan,nan,1285.986663697699,nan,6170.0,E,109062.32,116838.45,2p6.6f,2F*,5/2,2p6.10d,2D,5/2,,"c59,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Mg II,Mg,2,nan,nan,1285.64,nan,nan,1285.991665055975,nan,124000.0,D+,109062.35,116838.45,2p6.6f,2F*,7/2,2p6.10d,2D,5/2,,"c59,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1286.20503,7e-05,1286.20488,0.00012,1286.5568485495717,1286.556698508823,6.0,nan,,103878.37,111651.055,3d6.(3H).4d,4I,15/2,3d5.(4G).4s.(5G).4p,4H*,13/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1286.35659,8e-05,1286.35631,0.0001,1286.708449721784,1286.7081696457203,5.0,31000.0,E,102394.764,110166.534,3d6.(5D).6s,4D,7/2,3d6.(3F2).5p,4F*,9/2,,T6892c83,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
S IV,S,4,nan,nan,nan,nan,nan,nan,nan,39700.0,D,285122.2,292893.9,3s2.5p,2P*,1/2,3s.3p.(3P*).4p,2P,3/2,,"T6527c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1286.37,0.03,nan,1286.721863364695,nan,35000.0,D,80834.62491,88606.32,2s2.2p.4p,3D,3,2s2.2p.(2P*<3/2>).7d,2[5/2]*,3,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1286.4091,0.0003,1286.4095,0.0003,1286.7609739864588,1286.761374095121,7.0,83000.0,C+,162517.8755,170289.3243,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,2,,T6976,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1286.4167,0.0007,1286.41342,0.0001,1286.7685760510471,1286.7652951600144,1.4,nan,,99688.355,107459.78,3d6.(3F2).5s,f 4F,7/2,3d5.(2F1).4s.4p.(3P*),4G*,7/2,,,L18349c145,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1286.473,0.0002,1286.47284,0.00023,1286.8248913453044,1286.8247313018394,11.0,141000.0,C+,162517.8755,170288.9415,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,2,,T6976,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
Ne II,Ne,2,1286.50551,0.00013,1286.50552,0.00013,1286.8574101768575,1286.8574201795739,115.0,nan,,246394.1202,254164.9888,2s2.2p4.(1D).3s,2D,5/2,2s2.2p4.(3P).3p,2P*,3/2,,,L11301,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1286.50578,0.00017,nan,nan,1286.8576802502048,nan,580.0,nan,,nan,nan,,,,,,,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1286.56061,8e-05,1286.56042,0.00012,1286.9125251451344,1286.9123350935195,5.0,nan,,103874.261,111644.798,3d6.(3H).4d,4H,9/2,3d5.(2H).4s.4p.(3P*),4I*,9/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Na I,Na,1,nan,nan,1286.5906,0.0005,nan,1286.9425232921167,nan,2780.0,C',33200.673,nan,2p6.5s,2S,1/2,2p6.16p,2P*,3/2,,T817,,NIST ASD,m51_nist_1270_1300_raw.csv
Na I,Na,1,nan,nan,1286.5992,0.0005,nan,1286.951125628364,nan,2780.0,C',33200.673,nan,2p6.5s,2S,1/2,2p6.16p,2P*,1/2,,T817,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1286.627,0.004,nan,1286.9789331804197,nan,6000.0,D,80834.62491,88604.76,2s2.2p.4p,3D,3,2s2.2p.(2P*<3/2>).7d,2[5/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1286.8438,0.0003,1286.8451,0.00013,1287.195792075629,1287.1970924287832,0.8,nan,,100749.825,108518.643,3d6.(3F2).5s,e 2F,5/2,3d5.(2F1).4s.4p.(3P*),4F*,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Co II,Co,2,1286.8887,0.0014,1286.8921,0.0005,1287.240704273031,1287.2441051966653,4.0,41000.0,D,90199.163,97967.697,3d7.(4F).4d,f 5F,4,3d7.(4F).5p,3F*,3,,T6999,L9429c118,NIST ASD,m51_nist_1270_1300_raw.csv
Ne II,Ne,2,1287.0625,0.0009,1287.06216,0.0002,1287.4145514870568,1287.4142113946932,12.0,nan,,246397.481,254164.9888,2s2.2p4.(1D).3s,2D,3/2,2s2.2p4.(3P).3p,2P*,3/2,,,L11301,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1287.205,0.003,nan,1287.5570901982449,nan,80000.0,D,80782.44916,88549.095,2s2.2p.4p,3D,1,2s2.2p.(2P*<1/2>).8s,2[1/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1287.331,nan,nan,1287.6831244271102,nan,238000.0,D+,103735.48,111501.368,2s2.2p2.(3P).4s,4P,5/2,2s2.2p2.(3P).5p,4S*,3/2,,"u18,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1287.39651,0.00015,1287.39656,0.00021,1287.7486522234128,1287.7487022369955,4800.0,nan,,158057.4164,165822.9066,5p5.(2P*<3/2>).7p,2[1/2],0,5p5.(2P*<3/2>).7d,2[1/2]*,1,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1287.405,0.02,nan,1287.7571445297879,nan,3600.0,D,81325.81077,89091.25,2s2.2p.4p,3P,1,2s2.2p.(2P*<1/2>).8d,2[3/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1287.67509,0.00017,1287.67484,0.00012,1288.0273079019144,1288.0270578339998,1.5,nan,,103832.057,111595.869,3d6.(3H).4d,4K,13/2,3d6.(3H).5p,4H*,11/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1287.84327,8e-05,1287.84321,8e-05,1288.1955335894224,1288.1954735731229,15.0,720000.0,C+,83812.352,91575.149,3d6.(5D).4d,6D,5/2,3d6.(5D).5p,w 6P*,5/2,,T6892c83,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1287.9377,0.0004,1287.93745,0.00012,1288.2899892421424,1288.2897391742276,1.0,nan,,107217.854,114980.083,3d6.(5D).6p,6F*,9/2,3d6.(5D).6d,6P,7/2,,,L18349c148,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1287.9769,0.0005,1287.97661,0.00023,1288.3291998911627,1288.3289098123817,910.0,2000.0,C+,18378.186,26140.179,3d6.4s2,a 3P2,2,3d6.(5D).4s.4p.(3P*),z 5D*,3,,T5720,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1288.051,0.013,nan,1288.4033200210772,nan,100000.0,D,80834.62491,nan,2s2.2p.4p,3D,3,2s2.2p.(2P*<3/2>).7d,2[7/2]*,4,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1288.086,0.005,nan,1288.438329529137,nan,330000.0,D,80782.44916,88543.78,2s2.2p.4p,3D,1,2s2.2p.(2P*<1/2>).8s,2[1/2]*,0,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1288.1,0.3,nan,1288.4523333323614,nan,80000.0,D,80782.44916,88543.5,2s2.2p.4p,3D,1,2s2.2p.(2P*<1/2>).7d,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1288.4637,0.0005,1288.46347,0.00023,1288.8161321347995,1288.8159020723178,15.0,nan,,46720.842,54479.902,3d7.(4P).4p,u 5D*,4,3d6.4s.(6D).6s,5D,4,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1288.7163,0.00017,1288.71593,0.00023,1289.06880075602,1289.0684306555056,14.0,nan,,151038.4524,158795.9924,2s2.2p5.(2P*<1/2>).3p,2[1/2],1,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1288.751,0.022,nan,1289.103510182616,nan,10000.0,D,80801.28887,88558.62,2s2.2p.4p,3D,2,2s2.2p.(2P*<1/2>).7d,2[3/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1289.0693,0.0005,1289.06971,0.00023,1289.4218966520245,1289.422306763405,5.0,nan,,44458.934,52214.345,3d6.(3P2).4s.4p.(3P*),w 5D*,0,3d6.(5D).4s (4D).5s,g 5D,1,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
N II,N,2,nan,nan,1289.116,nan,nan,1289.4686093385633,nan,21100000.0,B,202170.63,209925.76,2s2.2p.4p,1P,1,2s2.2p.4d,1D*,2,,T5520,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1289.57708,0.00015,1289.57737,0.00012,1289.9298145958974,1289.9301046746791,1.7,nan,,103983.496,111735.854,3d6.(3G).5s,e 2G,7/2,3d6.(3H).5p,4H*,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1289.61175,6e-05,1289.6148,0.00017,1289.964494014388,1289.9675448429543,nan,nan,,84266.594,92018.727,3d6.(5D).4d,6P,7/2,3d5.(4D).4s.4p.(3P*),6F*,5/2,,,L18349c148,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1289.6119,0.0005,1289.6118,0.00023,1289.9646440551371,1289.9645440279708,269.0,nan,,39625.804,47377.955,3d6.(5D).4s.4p.(1P*),x 5D*,4,3d7.(4F).5s,e 5F,4,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
