half_planes,pabeta_flux,pagamma_flux,ratio
0,761.0559827688713,273.1597625256275,2.7861203851261584
1,1801.7609175844239,593.1733350208907,3.037494794874703
2,2094.9593598398114,659.2111289524524,3.177979357188487
3,2144.423628792409,673.95043425796,3.181871425238393
4,2179.938208744523,674.8262765276692,3.2303694811076924
