wavelength_nm,aperture_flux,aperture_error,pabeta_continuum,pabeta_residual,pagamma_continuum,pagamma_residual
970.3180286160203,296.8035501241684,9.839139224880993,533.9111345743906,-237.10758445022225,607.201618402617,-310.3980682784486
970.9540286276023,287.6049749851227,5.480524858983202,533.6281412419669,-246.0231662568442,605.8388829418268,-318.2339079567041
971.5900286391842,264.66578310728073,4.879245690500725,533.3451479095431,-268.6793648022624,604.4761474810366,-339.8103643737559
972.2260286507662,276.23150968551636,5.151450612111554,533.0621545771194,-256.830644891603,603.113412020246,-326.8819023347296
972.8620286623482,266.7814733982086,5.136221351038696,532.7791612446956,-265.997687846487,601.7506765594558,-334.96920316124715
973.49802867393,265.76673412323,6.260902137450203,532.496167912272,-266.729433789042,600.387941098666,-334.62120697543605
974.1340286855119,295.1833984851837,6.0038971360897015,532.2131745798482,-237.0297760946645,599.0252056378758,-303.8418071526921
974.7700286970938,287.43314492702484,5.634488649214834,531.9301812474246,-244.49703632039973,597.6624701770857,-310.2293252500608
975.4060287086759,280.88336086273193,5.706341495512226,531.6471879150008,-250.76382705226888,596.299734716295,-315.4163738535631
976.0420287202578,276.9270305633545,5.408231243085349,531.364194582577,-254.43716401922256,594.9369992555048,-318.0099686921503
976.6780287318396,295.723197221756,5.292015477273293,531.0812012501533,-235.35800402839732,593.5742637947146,-297.85106657295864
977.3140287434215,275.2948155403137,5.577252720762166,530.7982079177295,-255.50339237741582,592.2115283339244,-316.9167127936107
977.9500287550035,293.94584411382675,5.55916385915235,530.5152145853059,-236.56937047147915,590.8487928731342,-296.9029487593075
978.5860287665855,315.9467577934265,6.397767875966353,530.2322212528821,-214.28546345945563,589.486057412344,-273.53929961891754
979.2220287781674,285.28446865081787,5.251722350944321,529.9492279204584,-244.6647592696405,588.1233219515539,-302.838853300736
979.8580287897493,285.55663311481476,5.367771312979303,529.6662345880347,-244.10960147321998,586.7605864907637,-301.2039533759489
980.4940288013312,305.1391839981079,5.317342275943448,529.383241255611,-224.24405725750307,585.3978510299735,-280.25866703186557
981.1300288129131,413.47827219963074,15.469073577274255,529.1002479231872,-115.62197572355649,584.0351155691833,-170.55684336955255
981.7660288244952,315.30657052993774,5.116016888431274,528.8172545907635,-213.51068406082572,582.6723801083931,-267.36580957845536
982.4020288360771,293.6395721435547,5.194740713472855,528.5342612583397,-234.89468911478502,581.3096446476025,-287.67007250404777
983.0380288476589,309.7370653152466,4.898361983497608,528.2512679259162,-218.5142026106696,579.9469091868127,-270.20984387156614
983.6740288592408,294.93153738975525,4.664969097388837,527.9682745934924,-233.03673720373718,578.5841737260225,-283.6526363362673
984.3100288708227,300.517870426178,4.777848190888302,527.6852812610687,-227.1674108348907,577.2214382652323,-276.70356783905436
984.9460288824048,315.6744120121002,4.450804354638076,527.4022879286449,-211.7278759165447,575.8587028044417,-260.18429079234147
985.5820288939867,304.6377155780792,4.5546358435441885,527.1192945962212,-222.48157901814193,574.4959673436515,-269.8582517655723
986.2180289055685,350.1562614440918,4.709425746927374,526.8363012637974,-176.6800398197056,573.1332318828618,-222.97697043876997
986.8540289171505,342.60064578056335,4.389782051543813,526.5533079313738,-183.9526621508104,571.7704964220716,-229.16985064150822
987.4900289287324,322.00873613357544,4.265333862844938,526.2703145989501,-204.26157846537467,570.4077609612814,-248.39902482770594
988.1260289403144,309.20395398139954,4.3392710457869255,525.9873212665262,-216.7833672851267,569.0450255004907,-259.8410715190912
988.7620289518964,288.8167507648468,4.104277916888222,525.7043279341026,-236.8875771692558,567.6822900397005,-278.86553927485375
989.3980289634782,299.2852957248688,4.1457311901138025,525.4213346016788,-226.13603887681006,566.3195545789104,-267.0342588540416
990.0340289750601,297.15685844421387,4.1056490574485975,525.1383412692551,-227.9814828250412,564.9568191181202,-267.7999606739063
