line,rest_wavelength_nm,predicted_wavelength_nm,observed_wavelength_nm,velocity_kms,velocity_offset_kms,instrument_fwhm_nm,peak_snr,positive_pixels_snr3,centroid_ra,centroid_dec,positive_flux
Pa-beta,1281.807,1284.2623764300781,1284.2613044,573.4697509109266,-0.25024908907346344,1.4015741312125702,96.97290969448167,2148,58.97145025598187,45.81357123751728,53545.971384948745
Pa-gamma,1093.8,1095.8952380032404,,,,1.196000478012922,38.934039385511525,1188,60.21814517685736,46.545024472103485,21471.93403800393
